reference,base_prediction
mi rebus, saya takkan buat
eh mi rebus yang dia ada, mirbus yang dia ada
dalam dia kuah ka- ada kacang itu yang dia blender dengan kacang, dan dia kata ada kata dia berlindungi kata
oh, hmm
tapi kalau makan mi rebus dengan udang pun sedap juga, tapi kalau makan mi rebus dengan udang sedap juga
um okey okey, okey okey
okey okey faham [UNK] tapi sekarang ini aku rasa macam, okey faham maaf tapi kalau sekarang ni aku rasa macam
nasi ayam lagi sedap, nasi ayam dan gizida
nasi ayam sebab ayam dia tu dia perap, nasiakan sebab ayam dia diperap
untuk semalaman dengan dia punya bahan bahan tu, untuk seorang malaman dengan dia punya bahanbahan itu
lepas tu baru dia goreng untuk rasa ayam tu lagi sedap, lepas cuba beri goreng untuk rasa gaya lebih sedap
bye, bye
hello, helo
ah aku kurang si-sihat sikit, aku kurang sihat sikit
ha biasalah, ah besilah
ah apa ni, ah abang ni
kebelakangan ni aku macam, ke belakang lainnya aku macam
stress sikit pasal belajar lepas tu kurang selera makan, stres kek pasal belajar pasal kurang seliruh makan
ah so tu la aku kurang, so tu lah ko purang
semua kurang, samasama
hm, hmm
aku stress sebab belajar dua puluh empat jam belajar mak ayah aku hantar tution apa semua so aku macam, aku stress sebab belajar rumah 4 jam belajar meayakku anda tushina semua soal macam
dua puluh empat jam belajar [UNK] otak pun nak rehat juga kan so penat so aku jadi stress ha macam tu, leboh 4 jam belajar otak pun nak rehat juga and so penat sebab aku jadi stress macam tu
stress ni aku, stress ni aku
kalau macam, kalo macam
stress, stress
biasanya orang, biasanya orang
kalau tanda-tanda orang tu stress la dia macam kurang selera makan, kalau tandatanda orang itu stres lah dia macam muka orang sendiri remakan
ah, aan
tak boleh nak tidur pada waktu malam, tak boleh ngetidur pada waktu malam
em cepat penat senang senang sakit kepala senang dapat penyakit, cepat penat senang sakit kepala senang dapat penyakit
ah lepas tu rasa macam nak marah je kerja so lepas tu nanti ah fikir bukan bukan bukan, lepas tu rasa macam nak marah jagajaga so patut nanti fikir bukabuka
fikir, bikyi
perkara yang negatif je, bekarya negatif tu
ah macam tu la ah tu je la yang aku tahu, atau jelah yang aku tahu
ah kau pula, akan kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi kongsi
tahu, tunggu
tahu pasal apa, tahu pasal apa
hm, hmm
oh kemurungan ha apa yang kau tahu, oh gembungan mama apa yang kau tahu
hm, hmm
hm, hmm
oh, hmm
so, su
em, hmm
oh, hmm
Ina kau ada tak pengalaman macam, oh no kuat di tap pengalaman macam
jaga atuk ke nenek kau sakit ke ada tak, jaga aduk ni ni kawasakki gua le ta
ah, terima kasih kerana menonton
so kalau nenek kau sakit ke apa, so kalau nenek kau sakit kapal
biasanya kau bagi dia makan makanan yang macam mana, biasanya kau bagi dia makanmakanan yang macam mana
oh tapi yang tak boleh ada perasa macam tu la, oh tak boleh tak boleh ada perasa macam la
lepas tu makanan tu seimbang ada sayur ada buah-buahan, pat makanan tu seimbang ada sayur ada bobaan
lepas tu kurang minyak kan, batu kurang minyakkan
hm sama la macam aku aku pun hari tu ada juga jaga nenek aku, sama sama macam aku aku pernah itu ada juga jaga nini aku
masa dia sakit, masa itu di sini
so aku bagi la makanan jenis-jenis macam tu, so bagilah makan engineengine macam tu
em kau tahu tak penyakit yang selalu la ada dekat orang tua ni kat warga emas ni, kau tu tak penyakit yang selalulah ada dekat orang tua ni kat warga mas ni
kau tahu tak apa, kau kata apa
penyakit ni macam penyakit penyakit ni berjangkit contohnya macam radang, penyakitnya macam penyakit penyakit ini berdangkit contohnya macam radang
atau infeksi paru-paru ha sakit dekat bahagian paru-paru ataupun, atau infeksi barubaru sakit dekat bagian barubaru ataupun
ada sakit di bahagian pundi hempedu, sikit di bagian putih hempedu
selain daripada tu penyakit kanser ataupun barah, selain pada tu penyakit kengsi atau pumbara
kalau bagi perempuan kanser payudara ataupun kalau, kalau bagi perempuan kinsip ayodara ataupun kalau
kalau untuk laki dengan perempuan paru-paru ataupun usus besar kanser usus besar dekat usus dia tu macam, kalau untuk lakilaki perempuan barubaru ataupun khusus besar kensil khusus besar dekat khusus dia itu macam
ada, saya juga
ada lubang ke ada macam ketumbuhan macam tu la, ada lubang ada ketemuan macam tu lah
kalau macam, kali macam
kalau macam [UNK] kalau orang tua ni macam dia kan macam, kalau orang tu macam dekat macam
ha dia suka duduk ha ha apa ni duduk seorang seorang dia suka, dia suka duduk seorang seorang
dia suka macam tempat yang sunyi, dia suka macam tempat yang sunyi
macam dia tak suka macam dia macam muram je tak suka senyum, dia macam muram dia tak suka senyum
lepas tu dia kurang zat makanan, kemudian kurang menjadik makanan
ha tu sebab, ah tu sebab
dia akibat daripada [UNK], dia akibat daripada masa
ha ah masalah sosial, maa masalah sosial
penyakit, yakin
so kalau kau nak tahu, su kalau kau nak tahu
sembilah puluh percent warga tua hidup sihat, 90 warga tual hidup sehat
dekat Malaysia ni hanya bukan kat Malaysia kat dunia, di sini hanya bukan di malaysia di dunia
hanya sembilan puluh ha sebanyak sembilan puluh percent warga tua hidup sihat, hanya sebanyak 90 persen warga tua hidup sehat
hanya sembilan puluh percent je perlu menjaga kesihatan tetapi, hanya 90 je perlu menjaga kesehatan tetapi sebab
sepuluh percent yang kurang kesihatan menggunakan, 10 yang kurang kesiatan menggunakan
dua kali ganda sumber kewangan seperti, 2 kali ganda sumber keuangan seperti
resource yang diperuntukkan contoh macam enam percent warga tua negeri sembilan, ressource yang diperlukan untukkan contoh macam 6 warga tua negeri
sembilan, kasiun bila
diki, diki
yang umur melebihi enam puluh tetapi peratus, yang umum lebih 60 tahun tapi beratus
peratusan yang masuk ke Hospital Seremban adalah kira-kira sepuluh hingga dua puluh percent, peratusan yang masuk ke hospital seremban adalah kirakira 10 hingga 20 persen
iaitu dua kali ganda la daripada, iaitu kari ganda lah daripada
jumpa tadi, jangan patut tak dihidupkan
hm so macam, hmm zoom zoom
kalau kau pula apa yang, kalau kau belak apa yang
kau tahu pasal, kota pasal
penyakit kemurungan kemurungan tu, penyakit kemurungan itu
oh, hmm
so kesan dia kau akan, so ke sendir kau kan
berfikir yang positif eh negatif la, bukan positi negatif
dia orang tak selera nak makan apa semua kan, tuan tak selera nak makan apa semua kan
em em, mmmm
oh untuk hormon, oh untuk hormon
perempuan je untuk macam protect dia untuk, dan pun jemput untuk memprotekturkan
untuk, untuk
ha masa hadapan la mengandung ke protect rahim dia ke kan macam tu, masa ada pandang terungaungaunga ke protek rahim dia ke kan tentu
kau tahu tak yang, kodotak iya
masalah macam, masa allah macam
umur berapa yang biasanya masa contoh masalah, umur berapa yang biasanya macam masalah
kecelaruan ni, kecila ruang ini
em kecelaruan emosi macam, ketulah ruang emosi
suka marah, sukumara
suka tiba-tiba sedih macam orang, suka terdibu setiap orang
macam orang gila orang tak betul macam tu, macam orang gila kemahat tak betul macam tu
biasanya dia berumur, biasanya dia berumur
ha dia bukan berumur dia macam tempoh masa dia tu dalam masa macam, dia bukan berumur dia macam tempuh masa itu dalam masa macam
biasanya dia daripada, masihnya dia daripada
an, on
enam tahun, namta 1
hingga ke sembilan tahun kalau gangguan perlakuan contoh macam, hingga ke 9 tahun kalau gangguan perlakuan contoh macam
hiperaktif dia daripada umur tiga tahun, hyperactive dia daripada umur 3 tahun
hingga sembilan tahun, terima kasih kerana menonton
perkembangan per, berkembangan
pervasif contoh macam autisme tu, pervasif contoh macam autism tu
dia umur daripada satu tahun hingga lima tahun, diumur dari 1 tahun hingga 5 tahun
dan pergantungan, dan pergantungan
ha berumur daripada satu tahun hingga tiga tahun, yang berumur dari 1 tahun hingga 3 tahun
tu jangka jangka, tu jangka jangka
em masalah mental yang, masa alam entil yang
khusus, khusus
terdapat di lingkungan jarak umur yang tertentu la, terdapat di lingkungan jarak umur yang tertentulah
dia macam ada umur-umur yang tertentu untuk ha berpotensi untuk dapat penyakit tu, dia macam ada umurumur yang tertentu untuk berpontensi untuk dapat penyakit itu
kalau macam, kala macam
autisme ni, atau jenis
dia penyakit yang macam, dia penyakit yang macam
autisme ni, al di zemni
okey aku nak tanya kau, okey kuat tahniah
apa yang, buyan
kau pernah tak ada pengalaman macam, kau pernah tak ada pengalaman macam
ha jaga orang autisme ke ataupun, jaga orang autism ke ataupun
kau pernah kenal ke kawan ke sen- sendiri dengan orang-orang macam tu pernah tak, kau pernah kenal ke kawan ke sendiri dengan orangorang macam tu pernah tak
oh, hmm
oh this, oh ini
oh ganas macam dia tiba-tiba dia macam ganas tiba-tiba dia baik macam tu lah, oh garnas macam dia tibatiba dia macam garnas tibatiba dia baik macam tu lah
ke, go
oh macam tu, oh kita dulu tutup
oh wak, uuh
kau nak tau tak sebenarnya autism ni, kan nak tahu tak sebenarnya autism ni ye
dia sebenarnya ha gangguan pertumbuhan tumbesaran, ini sebenarnya gangguan pertumbuhan tumbuh sarin
dalam jangka masa panjang lah, dalam jangkuk mas panjang
dia ganggu kita punya tumbesaran badan ke otak ke kita punya apa-apa tumbesaran, dia ganggu kita punya tumer saran badan ke utak ke kita punya apaapa tumer saran
dal- dalam jangka masa yang panjang, dalam jangka masih panjang
dan dia memberi, dan dimemberi
kesan dalam pemikiran kanak-kanak biasanya kanak-kanak lah dapat benda macam ni, kesan dalam pemikiran kanakkanak biasanya kanakkanak lah dapat benda macam ni
biasanya, terima kasih
ha ia berlaku kepada kanak-kanak di antara satu hingga, ia berlaku kepada kanakkanak di antara satu hingga
dua orang dalam, 2 orang dalam
se seribu dan ia terjadi empat kali lebih kerap di kalangan kanak-kanak lelaki so dia jadi, se seribu dan ia terjadi 4 kali lebih kerab dikalangan kanakkanak lelaki so dia jadi
dia biasanya, di belakang
ha budak-budak lelaki lah yang kena budak-budak perempuan ni dia macam kurang sikit, budakbudak laki yang kena budakbudak perempuan ni dia macam kurang sikit
ha gejala-gejala ni selalunya berlaku kepada kanak-kanak ha berumur tiga tahun, gejala selain berlaku kepada anakanak berumur 3 tahun
ha sebab-sebab autism ni berlaku disebabkan, sebab sebab autism ni berlaku disebabkan
ha, ah
cara komunikasi ke, saya akan beritahu dia
tindak balas sosial ke tindak lah tin- tingkah laku yang berulang dari segi minat dan aktiviti, tidak bales sosial ke tidak tingkah laku yang berulang dari segi minat deaktiviti
autism ni dia salah satu hak bahagian dalam gangguan yang dipanggil, autizem ini adalah salah satu hak bahagian dalam gangguan yang dipanggil
pervasive deve- deve- development disorder dan satu lagi gangguan dari kumpulan ini ialah, pervasif development disorders dan satu lagi gangguan dari kem pulang ini ialah
as- Asperger syndrome di mana peru pertuturan kanak-kanak dan kemahiran kognitif boleh jadi normal, asperger syndrome di mana pertuturan kanakkanak dan kemahiran kognitif boleh jadi normal
so tanda-tanda, sudah tentu tentu
tanda-tanda ha apa ni autism ni ialah, tandatanda ini autism ini ilah
daripada tadi aku cakap komunikasi kan, daripada tak dia aku cakap komunikasi kan
so daripada dia nak cara bercakap tu [UNK] ha dia jadi, so daripada cara bercakap tu jadi
kadang-kadang lambat lepas tu dia macam tak normal, kadangkadang lambat pasul dia macam tak normal
ha lepas tu dia tak boleh cakap macam teratur macam dia cakap terabur-terabur lah, pasal dia tak boleh cakap macam teratuh macam dia cakap terabu terabu lah
lepas tu, bersenang
bahasa dia tanpa lisan yang tidak normal contoh, berserangkan bahasa dia tanpa lisan yang tidak normal contoh
kurang pergerakan angge- anggota badan, kurang pergerakan anggap anggur tebatan
lepas tu kurang cerdas masa bermain dia macam slow je kalau orang ajak main kalau macam, kemudian kurang cerdas mas bermain dia macam seluruh jika orang ajak main kalau macam
kalau budak lelaki kan masa eh petang-petang dia orang suka main bola, kalau budak laki kan rasa eh betulbetul mereka suka main bola
tapi kalau ha budak-budak yang ada penyakit ni dia macam dia suka main bola tapi, tapi kalau budakbudak yang ada penyakit ni dia suka membulah tapi
dia macam ha bola ah boleh lah dia macam okey okey pas [UNK] ha lepas tu masa dia nak main bola tu dia macam, dia macam ha bolehlah dia macam okey okey pas tak ah patuh masa dia nak main bola tu tu macam
slow je kejar bola tu macam tak tak, slow jika jabola tu macam tak
tak macam orang lain lah, tak boleh jauh lewat lain
lepas tu dia macam kurang sikitlah bergaul dan berbincang dengan orang lain dia macam, kemudian dia kurang bergauh dan berbincang dengan orang lain
tak suka cakap-cakap dengan orang dia suka dengan orang-orang yang dekat je, tak suka cakapcakap mengorang diske dengan orangorang yang terdekat je
kalau macam ada kawan baru ke jiran baru ke nak pergi sekolah ada jumpa kawan baru, kalau ada kawan baru ke jeeran baru ke nak pergi sekolah hari jumpa kawan baru
dia macam, di mana siam
dia lebih suka untuk diam dia tak suka cakap dengan orang lain, dia lebih suka untuk dia boleh tak suka cakap dengan orang lain
kalau jenis macam daripada tanda-tanda daripada jenis ha segi komunikasi pula, kalau jenis macam daripada tandatanda daripada segi komunikasi pula
daripada tindak balas sosial, daripada tindak balas sosial
daripada segi tindak balas sosial, daripada segitim nak buat sosial
dia hilang tumpuan dan kurang mimik muka dia macam kalau orang cakap kan kalau macam contoh kita cakap pasal benda-benda yang seram ke apa ke, dia hilang tumpuhan dan kurang mimik muka dia macam kalau orang cakap kan kalau macam contoh kita cakap pasal bendabenda yang seram ke apa ke
dia macam kalau orang normal dia akan cakap dia macam buat muka macam takut ke apa tapi kalau orang yang ada autism ni dia macam, dia macam kalau orang normal dia akan cakap dia macam buat muka macam takut ke apa tapi kalau orang yang ada autism ni dia macam
macam tak ada perasaan macam, macam tadu peras air macam
macam dengar macam oh macam tu ha dia macam ha dia macam tak ada tak ada reaksi muka lah, oh macam itu dia macam tak ada reaksi muka lah
selain tu tiada kesedaran perasaan terhadap orang lain hm kalau macam orang cakap-cakap pasal dia kalau orang kutuk dia macam cakap, lain itu tiada kesedaran perasaan terhadap orang lain kalau macam orang cakapcakap tentang dia kalau orang kutuk dia macammacam
eh kau ni dah lah pendek ke apa ke ha dia macam tak ada dia macam tak terasa dia macam tak ada perasaan macam tu lah, kau ni dalam pendek ke apa ke dia macam tak terasa dia macam tak ada perasaan jangkula
lepas tu suka bersendirian tanpa berkongsi pengalaman dengan orang lain ha macam tak nak cakap dia tak suka, pada masa itu suka bersendirian tak berbegungsi pengalaman dengan orang lain macam tak dia kucuk dia tak suka
dia tak suka bergaul dengan orang lah, saya tak suka berkawal dengan orang lah
lepas tu suka bermain sendiri ha dia lebih suka main sendiri macam main sorang-sorang main Lego sorang-sorang ke, lalu suka bermain sendiri yang lebih suka bermain sendiri seperti main soseorang main lego soseorang ke
kalau orang besar tu mungkin dia, kalau orang besar tu mungkin dia
main game sorang-sorang ke kan P S O sorang-sorang, main game seorang ke kan ps4 seorang
ha selain daripada tu, selepas itu
ha okey kal- kalau, okey kalau
kalau, hello
contoh lah, contoura
tapi tak ada lah, tapi tak jualah
ah, 
kita ada orang yang terdekat ada, kita ada orang yang terdekat ada
ada penyakit macam ni, ada penyakit macam ni
ah cara nak nak rawat dia, dan cari nak rawat dia
kalau biasanya orang akan pergi hospital lah, kalau biasanya orang ke perkiwa hospital lah
tapi kalau kalau kau macam dia tak nak pergi hospital ke kau cuba untuk ah membaiki kemahiran sosial dia, tapi kalau kau macam dia tak nak ke hospital ke kau cuba untuk membaiki kemaeran sosial dia
ataupun menggalakkan lebih ramai masyarakat mengenal mengenal pasti kelakuan mereka macam contoh kalau macam, atau menggalakkan lebih ramai masyarakat mengenal pasti kelekuan mereka macam contoh kalau macam
okey kalau contoh ah pukul satu hingga pukul dua ni dia [UNK] ah dia punya, pukul 12 ini dia punya
tingkahlaku akan jadi macam agresif macam suka marah marah suka lompat lompat ke apa ke ah so, tinggal aku akan jadi agresif seperti sukemarmaras kelompoklompok kapak ke asu
kau suruh orang-orang yang lain tu macam, kau juga ada orang yang lain tu macam
faham dia ah macam lebih mengenali dia lah macam okey pukul ni pukul ni jangan kacau dia sebab, faham dia macam lebih mengenali dia lah macam ok bukannya jangan kacau dia sebab
nanti dia akan jadi buas ke jadi agresif macam tu lah, nanti dahkan jadi buas ke jadi agresif macam tu lah
ah ah, uhuh
selain daripada tu juga membantu keluarga mengendalikan masalah ini, selain daripada tujuh kak membantu keluarga mengendalikan masalah ini
dengan jayanya ah so, dengan jari
kalau macam contoh, kala macam tu
ah ada orang terdekat dengan kita yang ada masalah tu, ada orang itu dekat dengan kita yang ada masalah itu
kita ni, tidak mengapa
tolonglah ah famili dia ke keluarga dia untuk, tolonglah keluarga keluarga dia untuk
untuk rawat benda ni, untuk rawat benda ini
macam contoh kita bagi sokongan dekat dia ke bagi nasihat dekat budak tu ke kan, macam macam tu kita bagi sokongan dekat dia ke bagi nasihat dekat budak tu ke kan
em, hmm
so tu je lah aku rasa yang aku boleh, so tujalah aku rasa yang aku boleh
ceritakan dekat kau, jangan lupa menonton
cam aku boleh kongsikan dengan kau, aku boleh kongsi kan dengan kau
ah ah pasal kesihatan, aduh pasal kesihatan
kalau apa-apa apa-apa yang, ke apaapa yang
pasal kesihatan yang aku tau aku akan kongsi lagi dengan kau okey, pasal kesehatan yang aku tahu aku akan kongsi lagi dengan kau
okey, okey
bye bye, bye bye
hai Yulaiha, hai yuliha
sihat walafiat, sampai jumpa lagi
hm, hmmmm
ha ah weh, nggak awi
ei penyakit apa tu, ihhh penyakit apa tu
oh penyakit bahaya, om nekibayu
ah yang ni kan corona virus, ah ni ingin korna virus
ya weh, ubi
dah selamat lah ha ah, nasihan maia
tapi untunglah kita, tapi untunglah kita
Malaysia sikit je kan orang yang terkena dengan orang yang mati, malaysia sikit je kan orang yang terkenal dengan orang yang mati
tak ramai, terima kasih
kalau macam negara-negara yang besar-besar tu yang America, kalaun macam negaranegara yang besarbesar itu yang mereka
Russia Itali tu semua, rusia itali itu semua
kena ramai orang kena en, kini kita mahu orang kini
hm, hmm
ya weh, yui
dia orang tak buat ni ke P K P ke, durantah buat ni ku pikipi ku
selfish, ini serif
pentingkan diri sendiri [UNK], bersenangkan saya
dia, di
ha ah, ya ya
macam mana boleh datang denggi, jangan beri saya kembali
nyamuk, yamur
ha ah, awww
hm, hmm
aku pun pernah lah kena nyamuk gigit aku selalu tapi jarang ah kena denggi, aku pun pernah kena nyamuk gigi aku selalu tapi jarangnya kena dinggi
ha ah, yaa
kau pernah kena denggi, kau pun akan ada dinggi
habis kau masuk hospital ke, abis kau masuk hospital
oh, hmm
ha ah, hmm
hm, hmm
hm, hmm
oh ha ah, oh
habis kau dapat, abis kau dapat
dapat rawatan dia, dapat rawatan dia
dia ambik darah kau ke, dia ambil darah kau ke
aku pun pernah kenalah dulu kecik, aku pun benda gini la dulu kecil
aku kena demam panas teruk, aku kena demang panas teruk
masa tu aku muntah-muntah, aju tu aku muntahmuntah
aku muntah-muntah sampai aku jadi kurus kurus gila, aku muntahmuntah sampai aku jadi kuruskurus gila
aku muntah je ha, ya kumung tajiknya
tak makan tak apa, tak makan tak apa
mak aku pun kasi aku setiap hari makan bubur je, mak aku buka siaku siarim akan bubur dia
nasi aku tak makan langsung weh, dan siapa tak makan langsung ni
ya wei, yui
lagi-lagi kalau yang, egi ke egi keloyan
ada orang pernah buat jolok tu jolok ke dalam, ada orang pernah buat joluk ke dalam
tekak ah, tak kawal ni
um ah, oh
sakit gila, saya akan bina
aku tengok jugalah artis buat, aku tinggal juga lah artis
yang check [UNK] Corona virus tu, yang cek duai boleh nak bayar dulu
dia dia macam, duh du majam
betul-betul sakit wei macam nak, betulbetul sakit mencoba menak
eh nak apa, inilah awal
tekak ni rasa macam nak, tak kari semuanya
nak [UNK], nak ketukupi kan
seriuslah Yuyu, serius la yu
serius lah, serius eh
geli wei, biliui
ah kahak, aaaaah kau ha
ah ah, haa
kau kan tak suka muntah, kau kata skimntal
sebab, sama
dia nak ambil belah belah-belah dalam sampai ke perut tu kan, dia nak ambil belakbelak dalam sapa kerupaya tu
sakit doh, nak kik dulu
aku pun paling tak suka, aku benarbenar suka
aku tak suka ni ambil darah, untuk sekolah ini ambil darah
dengan cucuk, dan nanti kita
cucuk darah, tuju lele
aku tak suka macam pening, waktu itu saya suka seperti pening
pening wei, penewee
kena cucuk wei, terus juju
aku pernah kena, aku pun akan ni
masa aku kena demam tu lah ambil darah banyak kali, masa aku kena demam lah ambil darah banyak kali
cucuk darah ambil darah cucuk darah ambil darah, jangan terlalu banyak
kau pengsan, kupinsen
hei aku memanglah tak suka darah tapi aku tak adalah sampai pengsan, eh aku memang tak suka darah tapi aku tak adalah sama pinsan
aku just pening je, aku just penin dia
sama ah, terima kasih
yang, yon
aku pernah ke jugaklah kena, aku pun ada juga lah kena
yang masa doktor check gigi aku lepas tu kena macam, yang masa doktor cik gigi aku lupa tu kena macam
dia kata ada kuman kat dalaman lepas tu dia, dia kata dia kuman di dalaman sepatu dia
dia guna laser tu lepas tu [UNK] kat dalam, dia benda laser dia patut di dalam
gigi U, gigi awak
lepas tu nak buang balik, bila tu nak buang balik
rasa dia mengeliat wei kat dalam mulut aku, rasa dia mengeliat dia ke dalam mulut aku
sakit ah, tak ya
ah ah, ya
ya wei, yui
tak boleh makan tu tak boleh makan ni, untuk dia makan untuk dia makan ni
um ah, uhuh
aku melalak, aku pun tak nak
tu la, bula
orang orang tua-tua cakap kena jaga, orang orang tonton jaga kena jaga
pemakananlah masa muda, pemakan dengar mas mudi
supaya tak kena darah tinggi, supaya tak kena darat tinggi
ah, auuuhh
apa lagi, apa lagi
ah dia macam ah penyakit, jemput saya juga nak pergi nak pergi
ha obesiti, oh berjumpa
em em, hmm
hm ya weh, yubi
dah tu makanan semua sedap, dah tu makannya cuma sedap
nak buat macam mana, tak apa jena
takkan aku nak halang kan, tak akan guna halang kan
hm, dan
ha ah, uh uh
hm, hmm
ha ah, nuh uh
betul juga kan em aku ada sekali kena, aku ada di skali ke minggu
suhu aku tiga tujuh, suhu aku tidak akan menuju
time tu aku berdebar, tentang ku berdebar
suhu aku tiga tujuh, suhu aku tidak begitu jauh
em time tu aku berdebar la, entah itu aku debak lah
sebab sebab first time suhu aku [UNK] tiga tujuh, sebab pertama kali sebuah aku tigatujuh
kau pernah kena ke suhu kau tinggi, bagaimana dengan saya saya tak tahu
suhu kau tinggi, suhu kotenggi
suhu tinggi, suhu dingi
ah, aduh
paling tinggi, balik dinggi
ha ah, nggak
wow, wow
kau tak kena tahan pula, kota kena dahailah
oh maknanya benda tu dah rosaklah, mania benda itu dah rusaklah
tapi kan, tepikan
pasal Covid nineteen ni, pasal kau baik dah inti ni
semua negara kan dia kena kan, so many god you cant get in again
negara apa eh tak kena, nggak ada apaapa tak ada apaapa
semua kena kan, jangan berlain
ha, hmm
tapi ada yang menipu tau, tapi ada yang menipu
ada yang menipu, alias menipu
ada yang cakap yang sebenarnya negara dia ramai je orang kena, adi yang cakap yang sebenarnya negaranegara ramai saja orang kena
tapi, tadi
dia tipu dia kata sikit hm, dia tipu dia kata sikit
ha ah, nya
ramai je weh, dan main jevi
virus apa tu, jangan lupa tolong saya
nipah, ipa
oh, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
wow, ya
kat Malaysia ke apa, kamu berapa
ha ah, hmm
baguslah, baguslah
hm, nish
aku baru tahu ni, fakupah tau zi
mak kau cerita la, makcik tewa
bahaya eh, bayi eh
pokok [UNK] pokok nipah boleh jadi virus, pokok ni pokok ni pa boleh jadi virus
macam mana boleh terjadi, cuma lebih berit jadi
pegang, begong
ha, aww
mungkin, mungkin
ada orang kacau lah pokok nipah tu, aduh nak kacau ah buku ni pa tu
tu yang menjadi macam tu, yang jadi macam tu
ha ah, aduh
ya weh, iwi
ni mungkin [UNK], mungkin
ah doktor untunglah doktor kat Malaysia ni jenis macam cepat ah cepat buat sesuatu ha cepat bertindak, untung dokter di malaysia macam ini cepat buat susah tu cepat berindah
hm, hmm
Doktor Nor Hishamq, nuk tenui siam
aku suka doh dia, aku sekejap dia
memang bagus, memang bagus
aku pun suka, aku mesti ke
ah ah ramai orang puji, rameh orang budi
tapi ada je orang tak suka orang cakap eleh Malaysia tu tipu apa semua, tapi ada je orang tak suka orang cakap malaysia itu tipe buat apa semua
mesti ada je orang tak suka, mesti ada ujian orang terserah
okey kau pun, okey pergi
bye, bye
hello, helo
ya, ya
em makanan kegemaran kau kau suka makan apa, makanan kegumaran kau kau suka sama kapa
em, hmm
goreng pisang, terima kasih
lepas tu senang cari, perjuangan kaya ini
sedapnya, terima kasih
so apa istimewa, so apa istimewa
makan nasi lemak tu, makan misle makhru
em, hmmmm
kerang ke, ke rangka
oh, aa
em, hmmmm
aku suka makan pedas, aku suka makan pedas
aku suka makanan Korea, aku suka makan kudia
dia macam, di mana
sebab dia macam, so buat di mana
tak tahu lah sebab, tidak ada lagi
orang Korea kata kalau makan makanan pedas dia boleh hilangkan stress, orang korea kata kalau makan makanan pedas dia boleh hilangkan stres
so memang betul lah aku memang suka makan, jadi saya akan beritahu kamu semalam
aku penggemar makanan Korea, aku bangga ma akan dengan koriak
yes, yes
sebab, sebab
minggu lepas, minggu lepas
aku lepak dekat Mid Valley, aku lepak dekat mi veli
lepas tu alang-alang dengar kata ada restoran baru buka dekat apa nama restoran tu, kemudian ada restoran baru buka di restoran itu
The Gardens, keguguran
dia dekat je dengan Mid Valley tu, dia dekat dia dengan mcvellie tu
aku pergi lah kat sana, aku pergilah kat sana
mula tu aku ingat SeoulNami Korean B B Q ni terletak dekat restoran lain lah sebab, mulai itu aku ingat siul nami korian bbq ini terletak dekat restoran lainah sebab
sebab baru buka so aku tak tahu lah dia ada kat situ, sebab baru buka suaku tak tahu lah ada ada kat situ
lepas tu masa aku pergi tu, lalu masak ke bagi tu
sampai-sampai je ha ramai pula orang makan kat situ, sampaisampai je ramai pula orang makan kat situ
rupanya ramai juga orang Malaysia tekak Korea termasuk aku, perlupanya ramai orang malaysia di korea termasuk aku
em mula-mula aku pilih, malam lewat aku pilih
makanan tu, macaren tu
apa nama dia beef, apa nama dia beef
plater tapi mahal lah sikit, masalah sedikit
harga dia seratus sembilan belas, haji 119
em, hmm
dia daging tu dia potong nipis-nipis je memang rasa dia, daging itu dia putih nipinipi saja membarasi
[UNK] membuatkan, cukup membuatkan
aku malam tidur dengan lena, aku malam tidur dengan lina
pas tu aku makan, terus itu aku makan
Chan Chan Chicken, jangan jangkik
lima puluh sembilan ringgit kat situ memang mahal mahal lah tapi memang, 59 negit itu memang mahal lah tapi memang
puas hati memang sedap gila, pusati masak datang bila
macam, maafkan saya
aku [UNK] aku tak pandai nak masak masakan Korea ni just aku beli je dekat macam dekat area rumah aku ni dekat dengan, aku tak mandi nak masak korea ni jasa aku beli je dekat macam dekat rumah aku ni dekat dengan
Family Mart kat situ kan ada juga, family might kat situ kan ada juga
makanan-makanan Korea macam ramen, makanlah makanlah makanlah macam ramen
lepas tu aku beli lah aku, kemudian aku beritahu
suka green tea so aku beli lah [UNK] kadang aku beli green tea dengan ramen, suka grinti so aku beritahu kadang aku beli grinti dengan rameng
dengan dia punya kimbap tu semua, dengan dia punya kembap tu semua
so memang aku try memang sedap lah itu pun simple tapi, so memang tujuan yang masih enak lah tu pun simple tapi
