reference,whisper_small_prediction,whisper_large_v3_prediction,whisper_small_process_time,whisper_large_v3_process_time
okey la tu jugak macam ye la bawah kalau macam bajet aku bawah dua ribu la,okey la tu juga macam ye la bawah kalau macam bajet aku bawah dua ribu la,oke lah tu juga macam ya lah bawa kalau macam majik aku bawa dua ribu lah,2.957371711730957,5.162719249725342
so macam,so macam,so macam,0.5695202350616455,1.1581668853759766
tapi kan aku dengar cerita S E ni kecik so aku macam,tapi kan aku dengar cerita S E ni kecik so aku macam,tapi kan aku dengar cerita SE ni kecil so aku macam,2.7723004817962646,4.804065465927124
tangan aku ni dah la besar tak kan nak pakai kecik kecik kan,tangan aku ni dah lah besar tak kan nak pakai kecik kecik kan,tengan aku ni dah lah besar takkan nak pakai kecil-kecil kan,2.4042763710021973,4.460091590881348
sebab tu tadi aku cakap ni nak apa nak ambil Iphone seven je,sebab tu tadi aku cakap ni nak apa nak ambil iPhone Seven je,bab tu tadi aku cakap ni nak apa nak ambil iPhone 7 je,2.802488327026367,4.490907430648804
lagi satu dia pun macam tak de la ni sangat,lagi satu dia pun macam tak de la ni sangat,lain satu dia pun macam tak adalah ni sangat,1.599242925643921,2.9127721786499023
tak de lah besar sangat tak de la kecil sangat macam sedang sedang je,tak de la besar sangat tak de la kecik sangat macam sedang sedang je,tak adalah besar sangat tak adalah kecil sangat macam sedang-sedang lah,2.427260160446167,5.465033769607544
[UNK] kau tahu tak macam Iphone ni kan kan ada member aku cerita kan yang dia pak yang pakai telefon ni dia kata,contoh kau tahu tak macam Iphone kan kan kan ada member aku cerita kan yang dia pak yang pakai Iphone ni dia kata,contoh kalau kau tak macam iPhone kan kan ada member aku cerita kan dia yang pakai iPhone ni dia kata,3.6913599967956543,6.112321615219116
dorang kalau chat ke apa tak payah internet sebab dah ada apps sendiri yang free,dia orang kalau chat ke apa tak payah internet sebab dah ada apps sendiri yang free,diorang kalau chat ke apa tak payah pakai internet sebab dah ada app sendiri yang free,3.4084606170654297,5.1508073806762695
ada aaa ada haa apps,ada la ah ada ah apps,ada ah ada ah apps,1.030456781387329,1.7850515842437744
apps Apple tu sendiri la macam mesej mesej dia sendiri boleh call free macam Face Time kalau nak meeting dengan member kau ke,apps Apple tu sendiri lah macam mesej mesej dia sendiri boleh call free macam Face Time kan kalau nak meeting dengan member kau ke,apps Apple tu sendirilah macam mesej mesej dia sendiri boleh call free macam FaceTime kan kalau kau nak v-sync dengan member kau kena,4.577984571456909,8.804198741912842
kalau kau nak member,kalau kau nak member,kalau kau nak member,0.922766923904419,2.0058138370513916
kalau kau nk vc dengan kau ke kau boleh guna FaceTime,kalau kau nak visit dengan member kau ke kau boleh guna FaceTime,kalau kau nak VC dengan member kau ke kau boleh guna FaceTime,2.804581880569458,4.2270348072052
lagi satu [UNK],lagi satu ah,ih satu,0.7807636260986328,1.1462488174438477
haa dia Iphone dengan Iphone je,haa dia Iphone dengan Iphone je,ah dia iPhone dengan iPhone tu,1.327512264251709,2.0360004901885986
kalau yang lain tu kena lah macam pakai Whatsapp ke,kalau yang lain tu kena lah macam pakai Whatsapp ke,kalau yang lain tu kena lah macam pakai whatsapp ke,2.0528650283813477,4.616398572921753
haah,ha ah,ah ah,0.5740430355072021,1.1544904708862305
kalau,kalau,kalau,0.5291769504547119,1.1379120349884033
ha ye la betul la tu,ha ya la betul la tu,ah yelah betul lah tu,1.1224596500396729,2.5232625007629395
kalau ni,kalau ni,kalau ni,0.6708920001983643,1.4942102432250977
Samsung tak de ni ke boleh sambung-sambung ke,Samsung tak ada ni ke boleh sambung-sambung ke,Samsung tak ada ni ke boleh Samsung Lampung ke,2.7978515625,3.737010955810547
macam free yang free punya,macam free yang free punya,macam free yang free punya,1.0165462493896484,2.020005226135254
oh,oh,oh,0.4352850914001465,0.9006733894348145
haa yang yang latest laah,ah yang yang latest ah,ah yang yang latest lah,0.880544900894165,1.8977904319763184
yang latest punya Samsung lah,yang latest punya Samsung lah,yang latest punya Samsung lah,1.1805408000946045,2.5575671195983887
erm,hm,hmm,0.5306518077850342,0.9658818244934082
kau ingat tak dulu kau ingat tak dulu masa masa dulu kan mesti,kau ingat tak dulu kau ingat tak dulu masa masa dulu kan mesti,kau ingat tak dulu kau ingat tak dulu masa masa dulu kan mesti,2.27204966545105,4.454915285110474
su mesti susahkan kalau [UNK] orang orang dulu mesti susah kan pakai ni apa,mesti susahkan kalau bak orang orang dulu mesti susah kan pakai ni apa,mesti susah kan kalau orang orang dulu mesti susah kan pakai ni apa,2.669430732727051,5.297407627105713
pakai telefon awam telefon awam pakai surat ke kan,pakai telefon awam telefon awam pakai surat ke kan,pakai telefon awam telefon awam pakai surat dia kan,1.8489274978637695,3.582991361618042
yalah nak nak,yalah nak nak,ya lah nak nak,0.7822301387786865,1.7125916481018066
nak kena jalan jauh lepas tu cari telefon lepas tu bawa duit lagi kan,nak kena jalan jauh lepas tu cari telefon lepas tu bawa duit lagi kan,nak kena jalan jauh lepas tu cari telefon lepas tu bawa duit lagi kan,4.073946475982666,5.892582893371582
satu minit dua puluh sen,satu minit dua puluh sen,satu minit dua puluh sen,1.2555665969848633,2.4863202571868896
iyalah telekomunikasi ni ah ni lah kerajaan ada inisiatif lah untuk maju kan lagi kan,yalah telekomunikasi ni ah ni lah kerajaan ada dekat syaritiflah untuk maju kan lagi kan,ya lah telekomunikasi ni ah ni lah kerajaan ada inisiatif lah untuk majukan lagi kan,5.009088039398193,6.662260055541992
so lagi senanglah lagi mudah nak buat macam [UNK],so lagi senanglah lagi mudah nak buat macam nak,so lagi senang lah lagi mudah nak buat macam nak,1.7574021816253662,4.240701198577881
macam pasal kes Covid pun orang senanglah dapatkan,macam pasal kes Covid pun orang senanglah dapatkan,macam pasal kes Covid pun orang senang lah dapat kan,2.098433494567871,3.6349058151245117
macam ah ah informasi,macam ah ah informasi,macam ah ah informasi,1.0253164768218994,2.0137581825256348
kes positif baru ke apa macam mana cara untuk ni pun orang tengok macam slight slight dapat jumpa,kes positif baru ke apa macam mana cara untuk ni pun orang tengok macam slight slight dapat jumpa,kes positif baru ke apa macam mana cara untuk ni pun orang tengok macam slide slide je dapat rupa,2.979475736618042,6.638259410858154
so maksud macam,so maksud macam,so maksud macam,0.7993025779724121,1.5739796161651611
jaga sosial macam,jaga sosial macam,jaga sosial macam,0.8850467205047607,1.8182122707366943
macam kalau Perdana Menteri nak ni ke,macam kalau Perdana Menteri nak ni ke,macam kalau Perdana Menteri nak ni ke,1.532541036605835,4.326639175415039
dia macam ha iyalah nak bagitahu ada pengumuman ke,dia macam ah iyalah nak bagitahu ada pengumuman ke,itu macam ah yelah nak beritahu ada pengumuman ke,2.2223925590515137,4.045860290527344
lagi,dagi,naya,0.5642528533935547,1.1606781482696533
ha ah dorang guna untuk ni yang macam,ha ah dorang guna untuk ni macam,ha ada orang guna untuk ni kan macam,1.3111224174499512,3.3832995891571045
masalah sosial yang makin bertambahlah macam iyalah ada orang yang macam tak jaga,masalah sosial makin bertambahlah macam ya lah ada orang yang macam tak jaga,masalah sosial makin bertambah lah macam yelah ada orang yang macam tak jaga,3.2082769870758057,5.365468978881836
tak jaga ni lah macam imej,tak jaga ni lah macam imej,tak jaga ni lah macam image,1.2488641738891602,2.461866855621338
tak adalah,tak ada lah,tak ada lah,0.8828351497650146,1.897040605545044
sebab negara luar pun ada macam ni,sebab negara luar pun ada macam ni,sebab negara luar pun ada macam yang ni,1.5944316387176514,3.0933799743652344
macam imej,macam imej,macam image,0.7914273738861084,1.3748230934143066
imej masyarakat,imej masyarakat,imaj masyarakat,0.9963371753692627,1.9958817958831787
ha di [UNK] sendiri la macam maruah ke macam yalah,ah di muzik sendiri la macam maruah ke macam ialah,ah Dimitris ni lah macam maruah ke macam ye lah,2.516404151916504,4.286715984344482
ha nak macam pentingkan dirilah lepas tu,ha nak macam pentingkan dirilah lepas tu,ah nak macam pentingkan dirilah lepas tu,1.6362075805664062,3.1134281158447266
macam kalau tak ni kan dia orang macam senang kan macam nak cari macam,macam kalau tak ni kan dia orang macam senang kan macam nak cari macam,macam kalau tak ni kan dia orang macam senang kan macam nak cari macam,2.2821691036224365,5.727822542190552
apa ni yang,apa ni yang,apa ni yang,0.6856462955474854,1.3703179359436035
yang macam,yang macam,yang macam,0.5291142463684082,1.1433467864990234
[UNK] dia orang macam tak jaga kan,pornografi dia orang macam tak jaga kan,pornografi dia orang macam tak jaga kan,1.571920394897461,3.117274045944214
itulah macam,itulah macam,itulah macam,0.9400143623352051,2.1544723510742188
keburukan dia,keburukannya,kau berkanya,1.0987999439239502,1.9668052196502686
ha ah,ha ah,ha,0.539114236831665,0.9166104793548584
iyalah,ya lah,ya lah,0.5522909164428711,1.1461718082427979
mesti satu warung tu mesti ada yang baik yang buruk,mesti satu warung tu mesti ada yang baik yang buruk,mesti satu barang tu mesti ada yang baik yang buruk,1.9430477619171143,3.7768681049346924
so gunalah benda tu baik baik,so gunalah benda tu baik baik,so gunalah benda tu baik-baik,1.660600185394287,3.5535709857940674
daripada yang buruk,daripada yang buruk,dia pada yang buruk,1.0323338508605957,2.0115864276885986
mungkin tu masa mungkin tu masih ni lagi kot ah member dia,mungkin tu masa mungkin tu masa ni lagi kot ah member dia,mungkin tu masa mungkin tu masa ni lagi kot ah member dia,1.8236815929412842,3.5692126750946045
pengaruh,pengaruh,pengaruh,1.043795108795166,2.163588523864746
lagi satu ah nilah,lagi satu ah nilah,dia satu ah ni lah,1.2382080554962158,2.0125420093536377
kalau macam nak cari apa apa kan senangkan,kalau macam nak cari apa apa kan senangkan,kalau macam nak cari apa-apa ke kan senang kan,1.688166618347168,3.7782351970672607
contoh macam kerja kau tak siap ke,contoh macam kerja kau tak siap ke,contoh macam kerja kau tak siap ke,1.4813621044158936,3.863051414489746
mencontoh macam sejarah sejarah,mencontoh macam sejarah sejarah,macam tu macam sejarah sejarah,1.7689673900604248,2.890740156173706
macam sejarah [UNK] kan mesti cari ni kan apa jawapan selidik kan,macam sejarah ke terserikan mesti cari ni kan apa jawapan selerikan,macam sejarah kertas siri kan mesti cari ni kan apa jawapan siri kan,2.8534374237060547,6.4829230308532715
so macam senang kan cari kat Internet ke,so macam senang kan cari kat internet ke,so macam senang lah cari kat internet ke,1.7318832874298096,2.8969030380249023
macam kau nak tahulah macam,macam kau nak tau lah macam,macam kau nak tahulah macam,1.1301724910736084,2.4665167331695557
ah apa lagi macam nak cari tempat,ah apa lagi macam nak cari tempat,apa lagi macam nak cari tempat,1.3598589897155762,2.9610416889190674
tempat bercuti ke kan senang dia macam kau dekat hujung,tempat bercuti ke kan senang dia macam kau dekat hujung,tempat bercuti ke kan senang je macam kau dekat ujung,2.7559571266174316,4.26303768157959
kau cari app dia je kau download app lepas tu kau search je nak cari kat mana,kau cari app dia je kau download app lepas tu kau search je nak cari kat mana,kau cari app je je kau download app lepas tu kau search je nak cari kat mana,2.8084092140197754,6.4932029247283936
daripada kau daripada cari dekat,daripada kau daripada cari dekat,dia pada kau dia pada cari dekat,1.6000428199768066,2.8799972534179688
ha ah,ha ah,ha,0.5656907558441162,0.9342095851898193
cari kat surat khabar ke,cari kat surat khabar ke,cari kat surau kabar ke,1.3304836750030518,2.6629135608673096
mudahlah,mudahlah,mudah lah,0.8887109756469727,1.968381404876709
so macam,so macam,so macam,0.6060309410095215,1.145106554031372
jimat masa,jimat masa,ji mak rasa,0.6543428897857666,1.3562302589416504
tak adalah buang masa dari ni daripada ni kan,tak adalah buang masa dari ni daripada ni kan,tak adalah buang masa dari ni daripada ni kan,1.6933016777038574,3.3328981399536133
banyak lagi benda nak buat,banyak lagi benda nak buat,banyak lagi benda nak buat,1.1315627098083496,2.960020065307617
macm aku hari tu juga ada ni kan masak mas,macam aku hari tu juga ada ni kan masak mas,macam aku hari tu juga ada ni yang masak mas,2.140467882156372,3.399244546890259
ha ah macam aku hari tu kan ada buat masak masak kan tu pun aku tengok dekat phone juga so macam,ha ah macam aku hari tu kan ada buat masak masak kan tu pun aku tengok dekat phone juga so macam,ha macam aku hari tu kan ada buat masak-masak kan tu pun aku tengok dekat phone juga so macam,3.3557536602020264,7.615226984024048
senang kan lagi senang dari lagi senang dari kau tengok buku ah,senang kan lagi senang dari lagi senang dari kau tengok buku ah,senang lagi senang dari dari senang dari kau tengok buku ah,2.3583011627197266,4.237532615661621
lagi satu [UNK] ada banyak nak cari macam dalam buku kan kadang kadang dia macam,lagi satu pun ada banyak nak cari macam dalam buku kan kadang-kadang dia macam,dari satu ada pun ada banyak nak cari macam dalam buku kan kadang-kadang dia macam,2.9086482524871826,6.706457138061523
tertumpu pada macam western western je,tertumpu pada macam western western je,dertumpu pada macam western western je,1.4210081100463867,2.6871371269226074
kau ah,kau ah,ka ah,0.6745650768280029,1.1568603515625
betul tak kalau western western je,betul tak kalau western western je,tak kalau western western je,1.1128764152526855,2.3580355644226074
macam kalau,macam kalau,macam kalau,0.9512603282928467,1.6092073917388916
ha yalah lepas tu,ha ya la lepas tu,ah ya lah lepas tu,0.9988312721252441,2.039607048034668
lepas tu kita nak cari nak cari resepi lain lagi,lepas tu kita nak cari nak cari resepi lain lagi,lepas tu kita nak cari nak cari resipi lain lagi,1.895775318145752,3.9781205654144287
nak kena beli buku lain lagi macam [UNK] kalau guna phone ke apa kan senangkan macam,nak kena beli buku lain lagi macam kat kalau guna phone ke apa kan senangkan macam,nak kena beli buku lain lagi macam kalau guna phone ke apa kan senang kan macam,3.8973026275634766,5.548213720321655
taip je terus dapat,type dia terus dapat,type dia terus dapat,0.8089425563812256,1.5928244590759277
ah betul lah tu,ah betul lah tu,ha tu lah tu,0.9026837348937988,1.575470209121704
hak,ha,ha,0.5604140758514404,1.1578025817871094
ha ah,ha ah,ha,0.7043812274932861,1.2911131381988525
ah betul la itu,ah betul itu,ah betul betul,0.9052877426147461,1.8056118488311768
ah okey la,ah okey la,ha okey lah,0.7688536643981934,1.5861780643463135
ah ini ah,ah ini ah,ah ni ah,0.6665506362915039,1.383920431137085
ada ini,ada ni,ada ni,0.532473087310791,1.1410703659057617
orang orang datang okey,orang orang datang okey,orang orang datang okey,0.978018045425415,2.5515668392181396
okey,okey,oke,0.8002228736877441,1.29744291305542
ha hai aku rasa kau patut makan nasi lemak,ha hai aku rasa kau patut makan nasi lemak,ha hai aku rasa kau patut makan nasi lemak,1.766085147857666,3.358649730682373
sebab,sebab,sebab,0.5546245574951172,1.1594629287719727
sebab nasi lemak tu makanan yang sangat famous dekat Malaysia,sebab nasi lemak tu makanan yang sangat famous dekat Malaysia,sebab nasi lemak tu makanan yang sangat famous dekat Malaysia,2.017660140991211,5.137984037399292
rasa dia,rasa dia,rasa dia,0.8516416549682617,1.4088854789733887
boleh tahan kalau,boleh tahan kalau,boleh tahan kalau,0.8688497543334961,1.8039782047271729
kalau macam,kalau macam,hal macam,0.6625478267669678,1.1428492069244385
ada,ada,ada,0.4214472770690918,0.9636008739471436
dia boleh,dia boleh,dia boleh,0.6519851684570312,1.3600881099700928
makan dengan pelbagai jenis ah ayam boleh,makan dengan pelbagai jenis ah ayam boleh,makan dengan pakai jenis ah ayam boleh,2.1143457889556885,3.9434311389923096
sotong boleh sotong sambal,sotong boleh sotong sambal,soto boleh soto sambal,1.3522415161132812,2.243342638015747
um,hm,hm,0.4474143981933594,0.9315042495727539
bahan bahan dia kau kena ada santan,bahan bahan dia kau kena ada santan,bambahan dia kau kena ada santai,1.5609090328216553,3.163506031036377
ada halia,ada halia,ada halia,0.8965320587158203,1.997657299041748
ah,ah,ah,0.42937278747558594,0.9129056930541992
santan halia tu kau gabungkan dalam nasi lemak tu,santan halia tu kau gabungkan dalam nasi lemak tu,santan lali tu kau gabungkan dalam nasi lemak tu,2.1203813552856445,4.217376708984375
nasi tu yang kau nak ah tanak,nasi tu yang kau nak ah tanak,nasik tu yang kau nak ah tak nak,1.3899281024932861,3.399329900741577
hiasan dia ikut daripada kreativiti engkau kau nak buat hiasan dia macam mana,hiasan dia ikut daripada kreativiti engkau kau nak buat hiasan dia macam mana,iasan dia ikut daripada kreativiti kau kau nak buat iasan dia macam mana,3.7913033962249756,5.366311311721802
ah kalau kau nampak lagi menarik buat hiasan tu ca-cantik dan tak ada comot comot pada makanan tu,ha kalau kau nak nampak lagi menarik buat hiasan tu cik cantik dan tak ada comot comot pada makanan tu,kalau akan nak nampak lagi menarik buat hiasan tu cantik cantik dan tak ada comot-comot pada makanan tu,4.375941038131714,8.574760675430298
um tak pasti tapi dia memang makanan,um tak pasti tapi dia memang makanan,tak pasti tapi dia memang makanan,1.268320083618164,2.2424533367156982
makanan orang Malaysia,makanan orang Malaysia,makanan orang Malaysia,0.9289777278900146,2.126908779144287
semua orang boleh makan,semua orang boleh makan,semua orang boleh makan,1.3119606971740723,1.8055126667022705
ha kalau sambal dia,ha kalau sambal dia,ah kalau sambal dia,0.8900501728057861,1.766087532043457
kita kena guna um,kita kena guna,kita kena guna,0.9859552383422852,2.0202994346618652
bawang lada kering lepas tu blender,bawang lada kering lepas tu blender,bawang lada kering lepas tu blender,1.5885734558105469,4.080446481704712
and then,and then,and then,0.8082268238067627,1.1820085048675537
ha,bye,ha,0.41730427742004395,0.9201905727386475
lepas tu dah tu,lepas tu dah tu,lepas tu dah tu,0.8948359489440918,1.817554235458374
kau goreng kan ha sambal dia tu ha ikut macam mana kau nak pedas ke tak nak ke,kau goreng kan ah sambal dia tu ah ikut macam mana kau nak pedas ke tak nak ke,kau gorengkan ah sambal dia tu ah ikut macam mana kau nak pedas ke tak nak ke,3.1116812229156494,7.355195045471191
okey,okey,okey,0.566645622253418,1.154003381729126
K boleh apa lagi makanan yang kau nak,kay boleh apa lagi makanan yang kau nak,okey boleh apa lagi makanan yang kau nak,1.3566806316375732,2.880986213684082
bagi aku apa yang sedap makanan Malaysia,bagi aku apa yang sedap makanan Malaysia,bagi aku apa yang sedap makanan Malaysia,1.48579740524292,3.5705692768096924
nasi goreng,nasi goreng,nasik goreng,1.3142731189727783,1.8216214179992676
nasi goreng dia makanan yang simple ah tak banyak bahan dan nasi goreng dia ada pelbagai jenis,nasi goreng dia makanan yang simple ah tak banyak bahan dan nasi goreng dia ada pelbagai jenis,rasik goreng dia makanan yang simple aa tak banyak bahan dan nasi goreng dia ada pelbagai jenis,3.566319465637207,7.845748424530029
contoh nya Nasi Goreng Kampung Nasi Goreng Cina,contohnya Nasi Goreng Kampung Nasi Goreng Cina,contohnya nasi goreng kampung nasi goreng Cina,2.378443479537964,4.459720849990845
ha dan ada juga yang buat nasi goreng daging merah,ah dan ada juga yang buat nasi goreng daging merah,ah dan ada juga yang buat nasi goreng daging merah,2.0347187519073486,4.989808082580566
ah perlu [UNK],ah perlu,ah apa rukun,0.7216672897338867,1.8433308601379395
lada cili padi,lada cili padi,lada cili padi,0.9852240085601807,2.0112874507904053
bawang,bawang,bawang,0.6551740169525146,1.3543980121612549
ha lepas tu goreng lah nasi tu guna,ha lepas tu goreng kan nasi tu guna,ah lepas tu gorengan nasi tu guna,1.793708086013794,4.565250873565674
garam seberapa banyak yang kau nak,garam seberapa banyak yang kau nak,garam seberapa banyak yang kau nak,1.6238090991973877,2.6897923946380615
tu je,tu je,tidik,0.5933027267456055,1.3679301738739014
oh laksa apa yang sedapnya,oh laksa apa yang sedapnya,oh laksa apa yang sedapnya,1.3183619976043701,2.664938449859619
laksa Penang dia macam mana,laksa Penang dia macam mana,ah sepening dia macam mana,1.486201286315918,3.163703680038452
laksa tu,tak satu,satang,0.606971263885498,1.3986577987670898
iya,ya,ya,0.42707061767578125,0.9352178573608398
ada lagi ke bahan lain yang perlukan dalam tu laksa Penang,ada lagi ke bahan lain yang perlukan dalam tu laksa Penang,ada lagi ke bahan lain yang perlukan dalam tu laksa pining,2.262922525405884,4.4879631996154785
um hm,hm,ah,0.6186308860778809,1.1957159042358398
oh bunga kantan,oh bunga kantan,oh bunga kantan,1.284827470779419,2.115652322769165
oh,oh,ah,0.4426445960998535,0.9258363246917725
laksa Penang dengan laksa Johor ada banyak beza ke,laksa Penang dengan laksa Johor ada banyak beza ke,laksa Penin dengan laksa Johor ada banyak bezakah,2.1170172691345215,4.045522451400757
tapi bahan sampingan yang dalam laksa Penang dengan laksa Johor sama je kan,tapi bahan tampingan yang dalam laksa Penang dengan laksa Johor sama je kan,tapi bahan terpinggan dalam laksa pindangan laksa Johor sama je kan,3.5032663345336914,6.059184789657593
ha,ah,ah,0.4501791000366211,0.9233417510986328
okey okey ah lagi makanan apa yang paling best dekat Malaysia ni,okey okey ah lagi makanan apa yang paling best dekat Malaysia ni,okey ah lagi makanan apa yang paling best dekat Malaysia ni,2.146780490875244,4.521806478500366
lontong,lontong,lontong,0.9911665916442871,1.4074909687042236
lontong tu dia ada dua jenis kan lontong kering dengan lontong basah lontong kuah,lontong tu dia ada dua jenis kan lontong kering dengan lontong basah lontong kuah,longtong tu dia ada dua jenis kan longtong kerang dengan longtong basah longtong kuah,3.410512685775757,7.243584156036377
oh,oh,oh,0.6426937580108643,1.2654366493225098
ah dalam lontong kuah tu macam mana dia boleh jadikan kuah dia warna kuning kuning macam tu,ah dalam lontong kuah tu macam mana dia boleh jadikan kuah dia warna kuning kuning macam tu,ah dalam lontong kuah tu macam mana dia boleh jadikan kuah dia warna kuning-kuning macam tu,3.305786371231079,6.695724725723267
okey okey faham faham em,okey okey faham faham um,okey faham faham ah,2.1121888160705566,3.302896738052368
tapi aku paling cadangkan makanan dekat Malaysia yang sedap,tapi aku paling cadangkan makanan dekat Malaysia yang sedap,tapi aku paling cadangkan makanan dekat Malaysia yang sedap,2.060366630554199,4.033557891845703
mi,mi,hmm mi,0.4379441738128662,1.1580049991607666
mi goreng,mi goreng,mi goreng,0.7574231624603271,2.0541391372680664
mi kuah,mi kuah,mi kuah,0.9576735496520996,1.6815571784973145
ha ya mi goreng basah ada ah lagi satu ada mihun,ha ya mi goreng basah ada ah lagi satu ada mihun,ya Omega Rin Basah ada ah lagi satu ada Mi Hun,2.0178072452545166,3.3308064937591553
ah bahan bahan dia,ha bahan bahan dia,ah bahan-bahan dia,1.0255608558654785,2.2278738021850586
tidak kisah nak letak apa tapi ada mihun ni ada yang orang buat,tak kisah nak letak apa tapi ada mihun ni ada yang orang buat,tak kisah nak letak apa tapi ada mihun ni ada yang orang buat,2.82365345954895,5.116823673248291
yang warna putih punya just letak,yang warna putih punya just letak,yang warna putih punya just letak,1.3583042621612549,2.695145606994629
serbuk lada hitam je,serbuk lada hitam je,sebutlah dia hitam je,1.231032371520996,2.4455857276916504
untuk tambahkan rasa dia,untuk tambahkan rasa dia,untuk tambahkan rasa dia,1.5160157680511475,2.870004177093506
lepas itu kalau sayur sayur itu tidak kisah boleh guna,lepas tu kalau sayur sayur itu tidak kisah boleh guna,lepas tu kalau sayur-sayur tu tak kisah boleh guna,2.19861102104187,4.456096887588501
carrot sawi,carrot sawi,karet sawi,0.9048416614532471,1.6023941040039062
tauge pun boleh,tauge pun boleh,tau gai pun boleh,1.016282558441162,2.810776472091675
simple kalau,simple kalau,simple kalau,0.7918052673339844,1.3800995349884033
letak udang ayam pun boleh,letak udang ayam pun boleh,letak udang ayam pun boleh,1.2084105014801025,2.432814359664917
ha cara nak masak tu,ha cara nak masak tu,ah cara nak masak tu,1.0179927349090576,2.0166666507720947
macam biasa kau guna letak,macam biasa kau guna letak,macam biasa kau guna letak,1.3270189762115479,3.6588692665100098
ha bawang tu kalau nak lebih rasa dia kau,ha bawang tu kalau nak lebih rasa dia kau,ah bawang tu kalau nak lebih rasa dia kalau,1.5492944717407227,2.9431052207946777
tumbuk jangan blender,tumbuk jangan blender,tumbuk jangan blender,0.9102251529693604,1.7951738834381104
sebab kalau blender terlampau cair,sebab kalau blender terlampau cair,sebab kalau blender terlampau cair,1.442009449005127,3.350969076156616
kalau nak lebih elok lagi cari [UNK],kalau nak lebih elok lagi cari danda,kalau nak lebih elok lagi cari danda,2.269608736038208,3.1608309745788574
ah letak,ah letak,ah letak,0.6663079261779785,1.376546859741211
ah lada warna merah lepas itu potong,ah lada warna merah lepas tu potong,nah lada warna merah lepas tu potong,1.6962215900421143,3.5268921852111816
er jadikan bentuk bunga and then,ah jadikan bentuk bunga and then,ah jadikan bentuk bunga and then,1.9829516410827637,3.260768413543701
letakkan hiaskan dekat atas mi tu,letakkan hiaskan dekat atas mi tu,letakkan hiaskan dekat atas mie tu,1.708714246749878,3.346442461013794
senang je nak buat mi ni,senang je nak buat mi ni,senang je nak buat mie ni,1.1240148544311523,2.4307172298431396
ah contoh makanan lain,ah contoh makanan lain,ah contoh makanan lain,1.2916991710662842,2.5183544158935547
ada rendang,ada rendang,ada rendang,0.6681644916534424,1.3514654636383057
ah [UNK],ah,ah dan,0.4249382019042969,1.1326673030853271
rendang ada dua rendang ayam rendang daging,rendang ada dua rendang ayam rendang daging,rendang ada dua rendang ayam rendang daging,1.6638500690460205,3.336940050125122
boleh tapi time raya tapi,boleh tapi time raya tapi,boleh tapi,1.3403453826904297,1.8404603004455566
kalau,kalau,kalau,0.7579035758972168,1.3907737731933594
biasanya kalau dekat luar luar gerai gerai ni ada je jual rendang ni makan dengan lontong lontong kering dengan ketupat tu boleh jadikan,biasanya kalau dekat luar luar gerai-gerai ni ada je jual rendang ni makan dengan lontong lontong kering dengan ketupat tu boleh jadikan,biasanya kalau dekat luar luar gerai gerai ni ada je jual rendang ni makan dengan lontong lontong kering dan ketupat tu boleh jadikan,5.203145980834961,10.926465511322021
lontong kering,lontong kering,longtong kering,0.91729736328125,1.819742202758789
rendang ni dia famous,rendang ni dia famous,rendang ni dia famous,0.8808393478393555,1.8007476329803467
tapi kebanyakkannya untuk hari raya sahaja,tapi kebanyakkannya untuk air raya-raia je,tapi bayangkan dia untuk air raya je,2.1701393127441406,4.197082757949829
makanan yang lain banyak tapi yang paling sedap,makanan yang lain banyak tapi yang paling sedap,makanan yang lain banyak tapi yang paling sedap,1.4942376613616943,2.891935110092163
mi kari,mi kari,mi kari,0.6725301742553711,1.355198860168457
yang,ya mi,ya umikah,0.5291006565093994,1.5652592182159424
mi kari tu,mi kari tu,mari sari tu,0.8147451877593994,2.3839051723480225
tapi mi dia tu kita kena guna yang mi spaghetti punya,tapi mi dia tu kita kena guna yang mi spaghetti punya,tapi mie dia tu kita kena guna yang mie spaghetti punya,2.517890214920044,3.803525924682617
em,hm,um,0.4480721950531006,0.9231579303741455
ah tak sure tapi kalau,ah tak sure tapi kalau,ah tak sure tapi kalau,0.8686892986297607,1.7938003540039062
aku biasanya makan yang guna mi spaghetti punya lagi sedap,aku biasanya makan yang guna mi spaghetti punya lagi sedap,aku biasanya makan yang guna mi spaghetti punya lagi sedap,1.9354774951934814,4.523956775665283
rasa dia lain sebab kalau,rasa dia lain sebab kalau,ah jadi lain sebab kalau,1.1492805480957031,2.0196754932403564
guna,guna,guna,0.5466320514678955,1.1345574855804443
mi spaghetti itu dia tak cepat resap dekat dalam kuah tu,mi spaghetti tu dia tak cepat resap dekat dalam kuah tu,mi spaghetti tu dia tak cepat resap dekat dalam kuah tu,2.0095629692077637,4.802541732788086
kalau guna mi kuning yang biasa itu dia just cepat resap dan,kalau guna mi kuning yang biasa tu dia just cepat resak dan,kalau guna mie kuning yang biasa tu dia cepat resap dan,2.70758056640625,4.456326961517334
akan kembang mi tu,makan kembang mi tu,akan kembang mie tu,1.1389341354370117,2.019634246826172
sedap ke,sedap ke,sendap ke,0.6795651912689209,2.086390972137451
um,hm,hmm,0.629420280456543,1.2734239101409912
oh ayam masak merah boleh makan dengan nasi impit kan,oh ayam merah boleh makan dengan nasi impit kan,oh ayah Azmira boleh makan dengan nasi empit kan,1.8380110263824463,3.7619783878326416
hm,um,um,0.45616865158081055,0.9346089363098145
