reference,whisper_large_v3_prediction,whisper_large_v3_process_time
macam kalau,macam kalau,1.3156466484069824
ha yalah lepas tu,ah ya lah lepas tu,2.0274009704589844
lepas tu kita nak cari nak cari resepi lain lagi,lepas tu kita nak cari nak cari resipi lain lagi,4.613601207733154
nak kena beli buku lain lagi macam [UNK] kalau guna phone ke apa kan senangkan macam,nak kena beli buku lain lagi macam kalau guna phone ke apa kan senangkan macam,5.785141944885254
taip je terus dapat,type dia terus dapat,1.5670030117034912
ah betul lah tu,ah tu lah tu,1.5104851722717285
hak,ha,0.8713488578796387
ha ah,ha ah,1.0951058864593506
ah betul la itu,ha betul tu,1.815502405166626
ah okey la,ha okey lah,2.0955841541290283
ah ini ah,ah ni ah,1.3918030261993408
ada ini,ada ni,1.0960602760314941
orang orang datang okey,orang orang datang okey,1.9423649311065674
okey,okey,1.100337028503418
ha hai aku rasa kau patut makan nasi lemak,ha hai aku rasa kau patut makan nasi lemak,3.200453758239746
sebab,sebab,1.1562952995300293
sebab nasi lemak tu makanan yang sangat famous dekat Malaysia,sebab nasi lemak tu makanan yang sangat famous dekat Malaysia,5.111104726791382
rasa dia,rasa dia,1.3569202423095703
boleh tahan kalau,boleh tahan kalau,1.7369136810302734
kalau macam,kalau macam,1.2964990139007568
ada,ada,0.8804190158843994
dia boleh,dia boleh,1.3079838752746582
makan dengan pelbagai jenis ah ayam boleh,makan dengan pelbagai jenis ah ayam boleh,3.4585485458374023
sotong boleh sotong sambal,sotong boleh sotong sambal,3.425236463546753
um,hm,0.9458980560302734
bahan bahan dia kau kena ada santan,bahan bahan dia kau kena ada santan,2.9985692501068115
ada halia,ada halia,1.3434157371520996
ah,ah,0.8936054706573486
santan halia tu kau gabungkan dalam nasi lemak tu,santan lali tu kau gabungkan dalam nasi lemak tu,4.42152214050293
nasi tu yang kau nak ah tanak,nasi tu yang kau nak ah tanak,3.49377179145813
hiasan dia ikut daripada kreativiti engkau kau nak buat hiasan dia macam mana,hiasan dia ikut daripada kreativiti engkau kau nak buat hiasan dia macam mana,6.089059114456177
ah kalau kau nampak lagi menarik buat hiasan tu ca-cantik dan tak ada comot comot pada makanan tu,ah kalau kau nak nampak lagi menarik buat hiasan tu cantik cantik dan tak ada comot comot pada makanan tu,8.524718284606934
um tak pasti tapi dia memang makanan,em tak pasti tapi dia memang makanan,2.4482579231262207
makanan orang Malaysia,makanan orang Malaysia,1.570436954498291
semua orang boleh makan,semua orang boleh makan,1.740462064743042
ha kalau sambal dia,ha kalau sambal dia,1.7395427227020264
kita kena guna um,kita kena guna,2.378903388977051
bawang lada kering lepas tu blender,bawang lada kering lepas tu blender,3.8400402069091797
and then,and then,1.1424896717071533
ha,ha eh,1.1031410694122314
lepas tu dah tu,lepas tu dah tu,1.7416105270385742
kau goreng kan ha sambal dia tu ha ikut macam mana kau nak pedas ke tak nak ke,kau gorengkan ah sambal dia tu ah ikut macam mana kau nak pedas ke tak nak ke,6.273797988891602
okey,okey,1.5606858730316162
K boleh apa lagi makanan yang kau nak,okey boleh apa lagi makanan yang kau nak,2.9890284538269043
bagi aku apa yang sedap makanan Malaysia,bagi aku apa yang sedap makanan Malaysia,2.8191845417022705
nasi goreng,nasi goreng,1.7494158744812012
nasi goreng dia makanan yang simple ah tak banyak bahan dan nasi goreng dia ada pelbagai jenis,nasi goreng dia makanan yang simple ah tak banyak bahan dan nasi goreng dia ada pelbagai jenis,7.835174083709717
contoh nya Nasi Goreng Kampung Nasi Goreng Cina,contohnya nasi goreng kampung nasi goreng Cina,4.410021781921387
ha dan ada juga yang buat nasi goreng daging merah,ha dan ada juga yang buat nasi goreng daging merah,3.9382450580596924
ah perlu [UNK],ah perlu kamu,1.548712968826294
lada cili padi,lada cili padi,2.6811225414276123
bawang,bawang,1.458815336227417
ha lepas tu goreng lah nasi tu guna,ah lepas tu goreng yang nasi tu guna,3.4177072048187256
garam seberapa banyak yang kau nak,garam seberapa banyak yang kau nak,2.614622116088867
tu je,itu je,1.1364333629608154
oh laksa apa yang sedapnya,oh laksa apa yang sedapnya,2.824751615524292
laksa Penang dia macam mana,raksa Penang dia macam mana,3.1859805583953857
laksa tu,tengah satu,1.5845401287078857
iya,ya,0.8915736675262451
ada lagi ke bahan lain yang perlukan dalam tu laksa Penang,ada lagi ke bahan lain yang perlukan dalam tu laksa Penang,4.360904693603516
um hm,hm,0.9467003345489502
oh bunga kantan,oh bunga kantan,1.8240420818328857
oh,oh,1.1186025142669678
laksa Penang dengan laksa Johor ada banyak beza ke,laksa Penang dengan laksa Johor ada banyak beza ke,4.838991403579712
tapi bahan sampingan yang dalam laksa Penang dengan laksa Johor sama je kan,tapi bahan terpingan yang dalam laksa Pini dengan Laksa Johor sama je kan,5.661611795425415
ha,ah,0.9318547248840332
okey okey ah lagi makanan apa yang paling best dekat Malaysia ni,okey okey ah lagi makanan apa yang paling best dekat Malaysia ni,5.31657338142395
lontong,lontong,1.360158920288086
lontong tu dia ada dua jenis kan lontong kering dengan lontong basah lontong kuah,lontong tu dia ada dua jenis kan lontong kering dengan lontong basah lontong kuah,6.5959577560424805
oh,oh,0.9604711532592773
ah dalam lontong kuah tu macam mana dia boleh jadikan kuah dia warna kuning kuning macam tu,ha dalam lontong kuah tu macam mana dia boleh jadikan kuah dia warna kuning kuning macam tu,7.477252006530762
okey okey faham faham em,okey okey faham faham ah,3.1078245639801025
tapi aku paling cadangkan makanan dekat Malaysia yang sedap,tapi aku paling cadangkan makanan dekat Malaysia yang sedap,3.9584240913391113
mi,em mi,1.442227840423584
mi goreng,mi goreng,2.103013753890991
mi kuah,mi kuah,1.313586950302124
ha ya mi goreng basah ada ah lagi satu ada mihun,ha ya mi goreng basah ada ah lagi satu ada mi hun,3.8385698795318604
ah bahan bahan dia,ha bahan bahan dia,1.9982945919036865
tidak kisah nak letak apa tapi ada mihun ni ada yang orang buat,tak kisah nak letak apa tapi ada mihon ni ada yang orang buat,5.08013129234314
yang warna putih punya just letak,yang warna putih punya just letak,3.142516851425171
serbuk lada hitam je,sebutlah dia hitam je,2.1705191135406494
untuk tambahkan rasa dia,untuk tambahkan rasa dia,2.208819627761841
lepas itu kalau sayur sayur itu tidak kisah boleh guna,lepas tu kalau sayur sayur tu tak kisah boleh guna,4.104803562164307
carrot sawi,carrot sawi,2.3657824993133545
tauge pun boleh,tauge pun boleh,1.8523640632629395
simple kalau,simple kalau,1.301478385925293
letak udang ayam pun boleh,letak udang ayam pun boleh,2.425194263458252
ha cara nak masak tu,ah cara nak masak tu,1.9660248756408691
macam biasa kau guna letak,macam biasa kau guna letak,2.584688901901245
ha bawang tu kalau nak lebih rasa dia kau,ha bawang tu kalau nak lebih rasa dia kalau,3.561065673828125
tumbuk jangan blender,tumbuk jangan blender,2.119610548019409
sebab kalau blender terlampau cair,sebab kalau blender terlampau cair,2.797213554382324
kalau nak lebih elok lagi cari [UNK],kalau nak lebih elok lagi cari danda,3.0333058834075928
ah letak,ha letak,1.332406759262085
ah lada warna merah lepas itu potong,l-lada warna merah lepas tu potong,4.10755467414856
er jadikan bentuk bunga and then,ha jadikan bentuk bunga and then,3.295124053955078
letakkan hiaskan dekat atas mi tu,letakkan hiaskan dekat atas mi tu,3.238781213760376
senang je nak buat mi ni,senang je nak buat mi ni,2.181291103363037
ah contoh makanan lain,ha contoh makanan lain,1.9308476448059082
ada rendang,ada rendang,1.4566123485565186
ah [UNK],ah dan,1.390381097793579
rendang ada dua rendang ayam rendang daging,rendang ada dua rendang ayam rendang daging,3.9459612369537354
boleh tapi time raya tapi,boleh tapi time raya tapi,2.2333128452301025
kalau,kalau,1.123033046722412
biasanya kalau dekat luar luar gerai gerai ni ada je jual rendang ni makan dengan lontong lontong kering dengan ketupat tu boleh jadikan,biasanya kalau dekat luar luar gerai gerai ni ada je jual rendang ni makan dengan lontong lontong kering dengan ketupat tu boleh jadikan,10.685484647750854
lontong kering,lontong kering,1.7593624591827393
rendang ni dia famous,rendang ni dia famous,1.7366209030151367
tapi kebanyakkannya untuk hari raya sahaja,tapi kebanyakannya untuk hari raya je,3.0231454372406006
makanan yang lain banyak tapi yang paling sedap,makanan yang lain banyak tapi yang paling sedap,3.3798677921295166
mi kari,mi kari,1.8981213569641113
yang,yum,1.1186141967773438
mi kari tu,mi kari tu,1.5088040828704834
tapi mi dia tu kita kena guna yang mi spaghetti punya,tapi mi dia tu kita kena guna yang mi spaghetti punya,3.742755889892578
em,hm,0.9421358108520508
ah tak sure tapi kalau,ah tak sure tapi kalau,1.72019362449646
aku biasanya makan yang guna mi spaghetti punya lagi sedap,aku biasanya makan yang guna mi spaghetti punya lagi sedap,4.511010646820068
rasa dia lain sebab kalau,residu lain sebab kalau,2.2250912189483643
guna,guna,1.0897347927093506
mi spaghetti itu dia tak cepat resap dekat dalam kuah tu,mi spaghetti tu dia tak cepat resap dekat dalam kuah tu,3.8951661586761475
kalau guna mi kuning yang biasa itu dia just cepat resap dan,kalau guna mi kuning yang biasa tu dia res- cepat resap dan,5.640298128128052
akan kembang mi tu,akan kembang mi tu,2.245713710784912
sedap ke,sendap ke,1.5226709842681885
um,hm,0.8913543224334717
oh ayam masak merah boleh makan dengan nasi impit kan,oh ayam nasi merah boleh makan dengan nasi impit kan,3.9036879539489746
hm,um,0.9365546703338623
okey okey lagi makanan apa yang paling best,okey okey lagi makanan apa yang paling best,3.6504452228546143
dekat luar negara pun boleh juga,dekat luar negara pun boleh juga,3.3163461685180664
um,hm,0.9059064388275146
ramen biasanya ramen apa yang kau suka,ramen biasanya ramen apa yang kau suka,2.5508320331573486
kalau aku suka yang cheese punya dia lagi sedap dan tak berapa nak pedas sangat,kalau aku suka yang cheese punya dia lagi sedap dan tak berapa nak pedas sangat,4.7803473472595215
hm,hm,1.1501514911651611
faham-faham okey,faham-faham okey,3.4492440223693848
um,um,0.9403784275054932
bagi aku kalau makanan yang daripada negara luar ini yang,bagi aku kalau makanan yang daripada negara luar ni yang,4.109996557235718
best,best,0.9451746940612793
um,um,0.8931827545166016
sushi,sushi,1.0946228504180908
ya,ya,0.8864166736602783
sebab sushi dia ada pelbagai jenis kan dia boleh letak,sebab sushi dia ada pelbagai jenis kan dia boleh letak,4.972054958343506
ketam,ketam,1.1479792594909668
ah udang,ah udang,1.3116164207458496
ah macam macam lagi sayur sayur pun ada dalam itu,ah macam-macam lagi sayur-sayur pun ada dalam tu,3.877037525177002
makanan lain,makanan lain,1.3410372734069824
engkau la suggestkan makanan apa yang sedap,engkau lah suggest kan makanan apa yang sedap,3.850381374359131
um,oh,1.217466115951538
dia ada dalam bentuk segi tiga je ke,dia ada dalam bentuk segi tiga je ke,3.2239716053009033
um okey okey faham ah lagi apa lagi makanan yang sedap,okey okey faham ah lagi apa lagi makanan yang sedap,4.102928400039673
ah,um,0.9106683731079102
nasi goreng pataya,nasi goreng pataya,2.397477626800537
yang ada telur tu kan atas dia,yang ada telur tu kan atas dia,3.504899501800537
um,um,0.9264070987701416
and then yang atas dia nanti dia akan letak sos tu,and then yang atas tu nanti dia akan letak sos tu,3.605647325515747
okey okey,okey okey,1.5657775402069092
uh,um,0.8782086372375488
lagi makanan apa lagi yang,lagi makanan apa lagi yang,2.1416685581207275
paling famous la bagi engkau yang kau rasa kau nak makan,paling famous lah bagi engkau yang kau rasa kau nak makan,5.010706186294556
mi rebus,mi rebus,1.3669590950012207
eh mi rebus yang dia ada,em mi rebus yang dia ada,2.1501691341400146
dalam dia kuah ka- ada kacang itu yang dia blender dengan kacang,dalam dia kuah ka- ada kacang wei dia blender dengan kacang,4.736963272094727
oh,oh,1.0232164859771729
tapi kalau makan mi rebus dengan udang pun sedap juga,tapi kalau makan mi rebus dengan udang pun sedap juga,4.6130735874176025
um okey okey,um okey okey,1.819488525390625
okey okey faham [UNK] tapi sekarang ini aku rasa macam,okey okey faham lah tapi kalau sekarang ni aku rasa macam,3.8665273189544678
nasi ayam lagi sedap,nasi ayam lagi sedap,2.1755335330963135
nasi ayam sebab ayam dia tu dia perap,nasi ayam sebab ayam dia tu dia perap,4.567076683044434
untuk semalaman dengan dia punya bahan bahan tu,untuk soalan malaman dengan dia punya bahan bahan tu,3.6750898361206055
lepas tu baru dia goreng untuk rasa ayam tu lagi sedap,lepas tu baru dia goreng untuk rasa ayam tu lagi sedap,4.117196559906006
bye,bye,0.9536030292510986
hello,hello,1.1007115840911865
ah aku kurang si-sihat sikit,ha aku kurang si-sihat sikit,3.9018476009368896
ha biasalah,ha biasalah,1.379732370376587
ah apa ni,ah apa ni,1.3293449878692627
kebelakangan ni aku macam,kebelakangan ni aku macam,2.2397146224975586
stress sikit pasal belajar lepas tu kurang selera makan,stress sikit pasal belajar lepas tu kurang selera makan,4.299611568450928
ah so tu la aku kurang,ha so tu lah aku kurang,2.718968629837036
semua kurang,semua kurang,1.9758636951446533
hm,hm,0.8846144676208496
aku stress sebab belajar dua puluh empat jam belajar mak ayah aku hantar tution apa semua so aku macam,aku stress sebab belajar dua puluh empat jam belajar mak ayah aku hantar tuition apa semua so aku macam,6.871558666229248
dua puluh empat jam belajar [UNK] otak pun nak rehat juga kan so penat so aku jadi stress ha macam tu,dua puluh empat jam belajar memotak pun nak rehat juga kan so penat so aku jadi stress ah macam tu,8.145216703414917
stress ni aku,stress ni aku,1.5818226337432861
kalau macam,kalau macam,1.3180196285247803
stress,stres,1.1143419742584229
biasanya orang,biasanya orang,1.5501797199249268
kalau tanda-tanda orang tu stress la dia macam kurang selera makan,kalau tanda-tanda orang tu stress lah dia macam kurang selera makan,5.5519700050354
ah,ah,0.9300820827484131
tak boleh nak tidur pada waktu malam,tak boleh nak tidur pada waktu malam,2.6307501792907715
em cepat penat senang senang sakit kepala senang dapat penyakit,em cepat penat senang senang sakit kepala senang dapat penyakit,4.999975204467773
ah lepas tu rasa macam nak marah je kerja so lepas tu nanti ah fikir bukan bukan bukan,ah lepas tu rasa macam nak marah je kerja so lepas tu nanti ah fikir kat bukan bukan,6.921489477157593
fikir,fikir,1.1840441226959229
perkara yang negatif je,perkara yang negatif tu,2.1772730350494385
ah macam tu la ah tu je la yang aku tahu,ha macam tu la ah tu je la yang aku tahu,3.005005121231079
ah kau pula,ah kau pula,1.698352336883545
tahu,tau,1.4389779567718506
tahu pasal apa,tahu pasal apa,2.1938767433166504
hm,hm,0.9110660552978516
oh kemurungan ha apa yang kau tahu,oh kemurungan ah apa yang kau tahu,2.9576804637908936
hm,hm,0.9060115814208984
hm,hm,0.8739683628082275
oh,oh,0.8846018314361572
so,suk,1.0935885906219482
em,hm,0.8849756717681885
oh,oh,0.9556512832641602
Ina kau ada tak pengalaman macam,Una kau ada tak pengalaman macam,3.537896156311035
jaga atuk ke nenek kau sakit ke ada tak,jaga atuk ke nenek kau sakit ke ada tak,3.5489203929901123
ah,ah,0.9345190525054932
so kalau nenek kau sakit ke apa,so kalau nenek kau sakit ke apa,2.555457830429077
biasanya kau bagi dia makan makanan yang macam mana,biasanya kau bagi dia makan makanan yang macam mana,3.5400826930999756
oh tapi yang tak boleh ada perasa macam tu la,oh tak boleh yang tak boleh ada perasa macam tu lah,4.391234397888184
lepas tu makanan tu seimbang ada sayur ada buah-buahan,lepas tu makanan tu seimbang ada sayur ada buah-buahan,4.501527786254883
lepas tu kurang minyak kan,lepas tu kurang minyak kan,2.6196815967559814
hm sama la macam aku aku pun hari tu ada juga jaga nenek aku,oh sama lah macam aku aku pun hari tu ada juga jaga nenek aku,4.727170705795288
masa dia sakit,masa dia sakit,2.212505578994751
so aku bagi la makanan jenis-jenis macam tu,so aku bagi la makan eh jenis-jenis macam tu,3.849008321762085
em kau tahu tak penyakit yang selalu la ada dekat orang tua ni kat warga emas ni,um kau tahu tak penyakit yang selalu lah ada dekat orang tua ni dekat warga emas ni,6.329777240753174
kau tahu tak apa,kau tahu tak apa,2.4861183166503906
penyakit ni macam penyakit penyakit ni berjangkit contohnya macam radang,penyakit ni macam penyakit penyakit ni berjangkit contohnya macam radang,6.030385971069336
atau infeksi paru-paru ha sakit dekat bahagian paru-paru ataupun,atau infeksi paru-paru ah sakit dekat bahagian paru-paru ataupun,6.738711595535278
ada sakit di bahagian pundi hempedu,ah dia sakit di bahagian Budi Hempedu,3.870457887649536
selain daripada tu penyakit kanser ataupun barah,selain daripada tu penyakit kanser ataupun barah,4.163749933242798
kalau bagi perempuan kanser payudara ataupun kalau,kalau bagi perempuan kanser payudara ataupun kalau,4.393279790878296
kalau untuk laki dengan perempuan paru-paru ataupun usus besar kanser usus besar dekat usus dia tu macam,kalau untuk laki dengan perempuan paru-paru ataupun usus besar kanser usus besar dekat usus dia tu macam,8.430447101593018
ada,ada,0.9351596832275391
ada lubang ke ada macam ketumbuhan macam tu la,ada lubang ke ada macam ketumbuhan macam tu lah,3.293113946914673
kalau macam,kalau macam,1.7189972400665283
kalau macam [UNK] kalau orang tua ni macam dia kan macam,kalau macam kalau orang tua ni macam dia kan macam,3.666451930999756
ha dia suka duduk ha ha apa ni duduk seorang seorang dia suka,ha dia suka duduk ah ah apa ni duduk sorang sorang dia suka,4.321971654891968
dia suka macam tempat yang sunyi,dia suka macam tempat yang sunyi,2.609642505645752
macam dia tak suka macam dia macam muram je tak suka senyum,macam dia tak suka macam dia macam muram je tak suka senyum,5.226151943206787
lepas tu dia kurang zat makanan,lepas tu dia kurang ucap makanan,2.874610424041748
ha tu sebab,ah tu sebab,1.5726778507232666
dia akibat daripada [UNK],dia akibat daripada mas,2.5971145629882812
ha ah masalah sosial,ha ah masalah sosial,2.0249929428100586
penyakit,penyakit,1.6613197326660156
so kalau kau nak tahu,so kalau kau nak tahu,2.340831995010376
sembilah puluh percent warga tua hidup sihat,sembilan puluh percent warga tua hidup sihat,3.5300374031066895
dekat Malaysia ni hanya bukan kat Malaysia kat dunia,dekat Malaysia ni hanya bukan kat Malaysia kat dunia,3.2761893272399902
hanya sembilan puluh ha sebanyak sembilan puluh percent warga tua hidup sihat,hanya sembilan ah sebanyak sembilan puluh percent warga tua hidup sihat,4.983656644821167
hanya sembilan puluh percent je perlu menjaga kesihatan tetapi,hanya sembilan puluh percent je perlu menjaga kesihatan tetapi,5.21410059928894
sepuluh percent yang kurang kesihatan menggunakan,sepuluh percent yang kurang kesihatan menggunakan,3.6670024394989014
dua kali ganda sumber kewangan seperti,dua kali ganda sumber kewangan seperti,3.0972535610198975
resource yang diperuntukkan contoh macam enam percent warga tua negeri sembilan,resource yang diperuntukkan contoh macam enam percent warga tua negeri,5.829013109207153
sembilan,sembilan,1.152919054031372
diki,D K,1.1023540496826172
yang umur melebihi enam puluh tetapi peratus,yang umur melebihi enam puluh tahun tetapi peratus,3.647876739501953
peratusan yang masuk ke Hospital Seremban adalah kira-kira sepuluh hingga dua puluh percent,peratusan yang masuk ke hospital Seremban adalah kira-kira sepuluh hingga dua puluh percent,7.565316915512085
iaitu dua kali ganda la daripada,iaitu dua kali ganda lah daripada,2.830345630645752
jumpa tadi,jumpa tadi,1.5527079105377197
hm so macam,hm so macam,1.311424732208252
kalau kau pula apa yang,kalau kau pula apa yang,2.167478084564209
kau tahu pasal,kau tahu pasal,2.0250368118286133
penyakit kemurungan kemurungan tu,penyakit kemurungan kemurungan tu,4.71956992149353
oh,oh,0.9299411773681641
so kesan dia kau akan,so kesan dia kau akan,1.922184944152832
berfikir yang positif eh negatif la,berfikir yang positif eh negatif lah,2.8025238513946533
dia orang tak selera nak makan apa semua kan,dia kan tak selera nak makan apa semua kan,3.3233141899108887
em em,em em,1.4955389499664307
oh untuk hormon,oh untuk hormon,1.8736367225646973
perempuan je untuk macam protect dia untuk,perempuan je untuk macam protect dia untuk,2.7729177474975586
untuk,untuk,1.1526589393615723
ha masa hadapan la mengandung ke protect rahim dia ke kan macam tu,ha masa hadapan lah untuk mengandung ke protect rahim dia ke kan macam tu,4.58790922164917
kau tahu tak yang,kau tahu tak yang,2.1758906841278076
masalah macam,masalah macam,1.8477797508239746
umur berapa yang biasanya masa contoh masalah,umur berapa yang biasanya masalah contoh macam masalah alam,4.2442193031311035
kecelaruan ni,kecelaruan ni,1.7624175548553467
em kecelaruan emosi macam,um kecelaruan emosi macam,2.3616254329681396
suka marah,suka marah,1.5611567497253418
suka tiba-tiba sedih macam orang,suka tiba-tiba sedih macam orang,4.097821235656738
macam orang gila orang tak betul macam tu,macam orang gila ke orang tak betul macam tu,3.309260606765747
biasanya dia berumur,biasanya dia berumur,2.197134017944336
ha dia bukan berumur dia macam tempoh masa dia tu dalam masa macam,ha dia bukan berumur dia macam tempoh masa dia tu dalam masa macam,4.111593246459961
biasanya dia daripada,masanya dia daripada,2.620206356048584
an,ah,1.2570266723632812
enam tahun,enam tahun,1.3265573978424072
hingga ke sembilan tahun kalau gangguan perlakuan contoh macam,hingga ke sembilan tahun kalau gangguan perlakuan contoh macam,4.1096272468566895
hiperaktif dia daripada umur tiga tahun,hiperaktif dia daripada umur tiga tahun,3.4738247394561768
hingga sembilan tahun,hingga sembilan tahun,2.048452854156494
perkembangan per,perkembangan,2.1285974979400635
pervasif contoh macam autisme tu,pervasif contoh macam autisme tu,2.6229453086853027
dia umur daripada satu tahun hingga lima tahun,dia umur daripada satu tahun hingga lima tahun,3.6424143314361572
dan pergantungan,dan pergantungan,1.994318962097168
ha berumur daripada satu tahun hingga tiga tahun,ha berumur daripada satu tahun hingga tiga tahun,4.320221424102783
tu jangka jangka,tu jangka jangka,2.6094179153442383
em masalah mental yang,ah masalah mental yang,1.7514419555664062
khusus,khusus,1.338097333908081
terdapat di lingkungan jarak umur yang tertentu la,terdapat di lingkungan jarak umur yang tertentu lah,4.170459270477295
dia macam ada umur-umur yang tertentu untuk ha berpotensi untuk dapat penyakit tu,dia macam ada umur-umur yang tertentu untuk ah berpotensi untuk dapat penyakit tu,7.370320081710815
kalau macam,kalau macam,1.3591294288635254
autisme ni,autism ni,1.2833738327026367
dia penyakit yang macam,dia penyakit yang macam,2.431647777557373
autisme ni,autisme ni,1.3323614597320557
okey aku nak tanya kau,okey ah aku nak tanya kau,2.6446778774261475
apa yang,apa yang,1.4788899421691895
kau pernah tak ada pengalaman macam,kau pernah tak ada pengalaman macam,2.8710711002349854
ha jaga orang autisme ke ataupun,ha jaga orang autism ke ataupun,2.4837656021118164
kau pernah kenal ke kawan ke sen- sendiri dengan orang-orang macam tu pernah tak,kau pernah kenal ke kawan ke sendiri dengan orang-orang macam tu pernah tak,4.6421918869018555
oh,oh,0.937809944152832
oh this,oh dia,1.4204626083374023
oh ganas macam dia tiba-tiba dia macam ganas tiba-tiba dia baik macam tu lah,oh ganas macam dia tiba-tiba dia macam ganas tiba-tiba dia baik macam tu lah,6.536642789840698
ke,ke,0.9368681907653809
oh macam tu,oh macam tu,1.2937579154968262
oh wak,oh,0.8807923793792725
kau nak tau tak sebenarnya autism ni,kau nak tahu tak sebenarnya autism ni,2.605785608291626
dia sebenarnya ha gangguan pertumbuhan tumbesaran,dia sebenarnya ah gangguan pertumbuhan tumbesaran,4.662150859832764
dalam jangka masa panjang lah,dalam jangka masa panjang lah,2.6334474086761475
dia ganggu kita punya tumbesaran badan ke otak ke kita punya apa-apa tumbesaran,dia ganggu kita punya termesaran badan ke otak ke kita punya apa-apa termesaran,5.7127485275268555
dal- dalam jangka masa yang panjang,dal- dalam jangka masa yang panjang,3.891260862350464
dan dia memberi,dan dia memberi,1.5815420150756836
kesan dalam pemikiran kanak-kanak biasanya kanak-kanak lah dapat benda macam ni,kesan dalam pemikiran kanak-kanak biasanya kanak-kanak lah dapat benda macam ni,5.828567028045654
biasanya,biasanya,1.3569271564483643
ha ia berlaku kepada kanak-kanak di antara satu hingga,ha ia berlaku kepada kanak-kanak di antara satu hingga,5.387380838394165
dua orang dalam,dua orang dalam,1.609741449356079
se seribu dan ia terjadi empat kali lebih kerap di kalangan kanak-kanak lelaki so dia jadi,se seribu dan ia terjadi empat kali lebih kerap di kalangan kanak-kanak lelaki so dia jadi,6.695788621902466
dia biasanya,dia biasanya,1.6854040622711182
ha budak-budak lelaki lah yang kena budak-budak perempuan ni dia macam kurang sikit,ha budak-budak lelaki lah yang kena budak-budak perempuan ni dia macam kurang sikit,7.926379680633545
ha gejala-gejala ni selalunya berlaku kepada kanak-kanak ha berumur tiga tahun,ha gejala gejala ni selalunya berlaku kepada kanak-kanak ah berumur tiga tahun,6.826912879943848
ha sebab-sebab autism ni berlaku disebabkan,ah sebab-sebab autism ni berlaku disebabkan,4.513835430145264
ha,ah,0.9385843276977539
cara komunikasi ke,cara komunikasi ke,1.935610294342041
tindak balas sosial ke tindak lah tin- tingkah laku yang berulang dari segi minat dan aktiviti,tindak balas sosial ke tindak la- tin- tingkah laku yang berulang dari segi minat dan aktiviti,8.179899454116821
autism ni dia salah satu hak bahagian dalam gangguan yang dipanggil,autism ni dia salah satu hak bahagian dalam gangguan yang dipanggil,4.835156679153442
pervasive deve- deve- development disorder dan satu lagi gangguan dari kumpulan ini ialah,pervasive deve- deve- development disorders dan satu lagi gangguan dari kumpulan ini ialah,5.18758487701416
as- Asperger syndrome di mana peru pertuturan kanak-kanak dan kemahiran kognitif boleh jadi normal,as Asperger Sindrom di mana perut pertuturan kanak-kanak dan kemahiran kognitif boleh jadi normal,8.297135591506958
so tanda-tanda,so tanda tanda,1.7995657920837402
tanda-tanda ha apa ni autism ni ialah,tanda tanda ah apa ni autism ni ialah,3.007568597793579
daripada tadi aku cakap komunikasi kan,daripada tadi aku cakap komunikasi kan,3.588188648223877
so daripada dia nak cara bercakap tu [UNK] ha dia jadi,so daripada dia nak cara bercakap tu ah dia jadi,4.333182334899902
kadang-kadang lambat lepas tu dia macam tak normal,kadang-kadang lambat lepas tu dia macam tak normal,3.6976394653320312
ha lepas tu dia tak boleh cakap macam teratur macam dia cakap terabur-terabur lah,ah lepas tu dia tak boleh cakap macam teratur macam dia cakap terabur terabur lah,6.207509756088257
lepas tu,lepas tu,1.6854825019836426
bahasa dia tanpa lisan yang tidak normal contoh,bahasa dia tanpa lisan yang tidak normal contoh,3.2278757095336914
kurang pergerakan angge- anggota badan,kurang pergerakan angg- anggota badan,3.463057041168213
lepas tu kurang cerdas masa bermain dia macam slow je kalau orang ajak main kalau macam,lepas tu kurang cerdas masa bermain dia macam slow je kalau orang ajak main kalau macam,6.529738187789917
kalau budak lelaki kan masa eh petang-petang dia orang suka main bola,kalau budak lelaki kan rasa eh petang-petang dia orang suka main bola,5.047366619110107
tapi kalau ha budak-budak yang ada penyakit ni dia macam dia suka main bola tapi,tapi kalau ah budak-budak yang ada penyakit ni dia macam dia suka main bola tapi,5.97655177116394
dia macam ha bola ah boleh lah dia macam okey okey pas [UNK] ha lepas tu masa dia nak main bola tu dia macam,dia macam ha bola ah bolehlah dia macam okey okey pas- pas tu masa dia nak main bola tu dia macam,7.082892417907715
slow je kejar bola tu macam tak tak,slow je kejar bola tu macam tak,2.39418625831604
tak macam orang lain lah,tak macam orang lain lah,1.7624778747558594
lepas tu dia macam kurang sikitlah bergaul dan berbincang dengan orang lain dia macam,lepas tu dia macam kurang sikit lah bergaul dan berbincang dengan orang lain dia macam,6.633740186691284
tak suka cakap-cakap dengan orang dia suka dengan orang-orang yang dekat je,tak suka cakap-cakap dengan orang dia suka dengan orang-orang yang dekat je,4.803144693374634
kalau macam ada kawan baru ke jiran baru ke nak pergi sekolah ada jumpa kawan baru,kalau macam ada kawan baru ke jiran baru ke nak pergi sekolah ada jumpa kawan baru,6.772075653076172
dia macam,dia macam,1.4025559425354004
dia lebih suka untuk diam dia tak suka cakap dengan orang lain,dia lebih suka untuk diam dia tak suka cakap dengan orang lain,3.649871587753296
kalau jenis macam daripada tanda-tanda daripada jenis ha segi komunikasi pula,kalau jenis macam daripada tanda-tanda daripada jenis ah segi komunikasi pula,7.275332689285278
