reference,base_prediction
rasa dia lain sebab kalau, sedia lain sebab kalau
guna, guna
mi spaghetti itu dia tak cepat resap dekat dalam kuah tu, mie spaghetti tu dia tak cepat resap dekat dalam kuah tu
kalau guna mi kuning yang biasa itu dia just cepat resap dan, kalau guna mie kuning yang biasa tu dia cepat resap dan
akan kembang mi tu, agak kembang ni tu
sedap ke, sekejap saya akan menangkapnya
um, hmm
oh ayam masak merah boleh makan dengan nasi impit kan, wah yang azmira boleh makan dengan nasi empit kan
hm, hmm
okey okey lagi makanan apa yang paling best, lagi makanan apa yang paling best
dekat luar negara pun boleh juga, dekat luar negara pun boleh juga
um, hmm
ramen biasanya ramen apa yang kau suka, ramin biasanya ramin apa yang kau suka
kalau aku suka yang cheese punya dia lagi sedap dan tak berapa nak pedas sangat, kalau aku suka yang cheese punya dia lagi sedap dan tak berapa nak pedas sangat
hm, hmm
faham-faham okey, far far mungkin
um, ummm
bagi aku kalau makanan yang daripada negara luar ini yang, bagi aku kalau makanan yang daripada negara luar ni yang
best, bes
um, ummm
sushi, syusi
ya, you
sebab sushi dia ada pelbagai jenis kan dia boleh letak, sebab syu syi dia ada pelbagai jenis kan dia boleh letak
ketam, ke tempat
ah udang, dan
ah macam macam lagi sayur sayur pun ada dalam itu, macammacam lagi sayursayur pun ada dalam tu
makanan lain, makanan lain
engkau la suggestkan makanan apa yang sedap, engkaulah sarjaskan makanan apa yang sedap
um, oh
dia ada dalam bentuk segi tiga je ke, dia ada dalam bentuk segi 3 je ke
um okey okey faham ah lagi apa lagi makanan yang sedap, ok ok faham lagi apa lagi makanan yang sedap
ah, hmm
nasi goreng pataya, asyik gulung pada tayar
yang ada telur tu kan atas dia, yang ada telur tu kan atas dia
um, hmm
and then yang atas dia nanti dia akan letak sos tu, and then ni atas tu nanti dia akan letak sos tu
okey okey, okey okey
uh, umm
lagi makanan apa lagi yang, lagi makan apa lagi yang
paling famous la bagi engkau yang kau rasa kau nak makan, paling famous lah bagi kau yang kau rasa kau nak makan
mi rebus, minir abis
eh mi rebus yang dia ada, mirror boss yang dia ada
dalam dia kuah ka- ada kacang itu yang dia blender dengan kacang, dalam dia ada kacang dia berlindung dengan kacang
oh, hmm
tapi kalau makan mi rebus dengan udang pun sedap juga, tapi kalau makan mee rebus dengan udang pun sedap juga
um okey okey, okey okey
okey okey faham [UNK] tapi sekarang ini aku rasa macam, okey faham tapi kalau sekarang ni aku rasa macam
nasi ayam lagi sedap, nasi ayam dan gizi daun
nasi ayam sebab ayam dia tu dia perap, hai dan sayang sebab ayam dia itu diberap
untuk semalaman dengan dia punya bahan bahan tu, untuk suara malaman dengan dia punya bahanbahan tu
lepas tu baru dia goreng untuk rasa ayam tu lagi sedap, lepas tu baru dia goreng untuk rasa ayam tu lagi sedap
bye, bye
hello, helo
ah aku kurang si-sihat sikit, aku kurang sihat sikit
ha biasalah, haa biasa lah
ah apa ni, ah aku ni
kebelakangan ni aku macam, kebelakangan ni aku macam
stress sikit pasal belajar lepas tu kurang selera makan, stres sikit pasal belajar pasal kurang selera makan
ah so tu la aku kurang, so tu lah kukurangkan
semua kurang, semua kurang
hm, hmm
aku stress sebab belajar dua puluh empat jam belajar mak ayah aku hantar tution apa semua so aku macam, aku stress sebab belajar 24 jam belajar mak ayah aku antar tuition apa semua so aku macam
dua puluh empat jam belajar [UNK] otak pun nak rehat juga kan so penat so aku jadi stress ha macam tu, dah berubah jamjam otak pun nak rehat juga and so penat sebab aku jadi stress lah macam tu
stress ni aku, stress ni aku
kalau macam, kalau macam
stress, stres
biasanya orang, biasanya orang
kalau tanda-tanda orang tu stress la dia macam kurang selera makan, kalau tandatanda orang tu stres lah dia macam kurang selera makan
ah, an
tak boleh nak tidur pada waktu malam, tak boleh nak tidur pada waktu malam
em cepat penat senang senang sakit kepala senang dapat penyakit, cepat penat senang sakit kepala senang dapat penyakit
ah lepas tu rasa macam nak marah je kerja so lepas tu nanti ah fikir bukan bukan bukan, lepas tu rasa macam nak marah je kerja so lepas tu nanti fikir bukabuka
fikir, bikin
perkara yang negatif je, perkara yang negatif tu
ah macam tu la ah tu je la yang aku tahu, tu je lah yang aku tahu
ah kau pula, kau pula
tahu, tau
tahu pasal apa, tahu pasal apa
hm, hmm
oh kemurungan ha apa yang kau tahu, oh kemurungan apa yang kau tahu
hm, hmm
hm, hmm
oh, hmm
so, suhu
em, hmm
oh, oh
Ina kau ada tak pengalaman macam, noh kau ada tak pengalaman macam
jaga atuk ke nenek kau sakit ke ada tak, jaga atuk nenek kau sakit ke ada tak
ah, on
so kalau nenek kau sakit ke apa, so kalau nenek kau sakit ke apa
biasanya kau bagi dia makan makanan yang macam mana, biasanya kau bagi dia makan makanan yang macam mana
oh tapi yang tak boleh ada perasa macam tu la, oh tak boleh tak boleh ada perasaan macam tu lah
lepas tu makanan tu seimbang ada sayur ada buah-buahan, batu makanan tu seimbang ada sayur ada berbahan
lepas tu kurang minyak kan, lepas tu kurang minyak kan
hm sama la macam aku aku pun hari tu ada juga jaga nenek aku, oh sama lah macam aku aku pun hari itu ada juga jaga nenek aku
masa dia sakit, masih disekir
so aku bagi la makanan jenis-jenis macam tu, so aku bagilah makan yang jenisjenis macam tu
em kau tahu tak penyakit yang selalu la ada dekat orang tua ni kat warga emas ni, kau tu tak penyakit yang selalulah ada dekat orang tua ni dekat warga emas ni
kau tahu tak apa, kau kata apa
penyakit ni macam penyakit penyakit ni berjangkit contohnya macam radang, penyakit ni macam penyakit penyakit ni berjangkit contohnya macam radang
atau infeksi paru-paru ha sakit dekat bahagian paru-paru ataupun, atau infeksi paruparu sakit dekat bahagian paruparu ataupun
ada sakit di bahagian pundi hempedu, sakit di bahagian pudi hempedu
selain daripada tu penyakit kanser ataupun barah, selain daripada itu penyakit kengsa ataupun barah
kalau bagi perempuan kanser payudara ataupun kalau, kalau bagi perempuan kanser payudara ataupun kalau
kalau untuk laki dengan perempuan paru-paru ataupun usus besar kanser usus besar dekat usus dia tu macam, kalau untuk laki yang perempuan paruparu ataupun usus besar kanser usus besar dekat usus dia tu macam
ada, aduh
ada lubang ke ada macam ketumbuhan macam tu la, ada lubang ke ada macam ketumbuhan macam tu lah
kalau macam, kalium macam
kalau macam [UNK] kalau orang tua ni macam dia kan macam, kalau orang tua ni macam dia kan macam
ha dia suka duduk ha ha apa ni duduk seorang seorang dia suka, dia suka duduk apa ni duduk sorangsorang dia suka
dia suka macam tempat yang sunyi, dia suka macam tempat yang sunyi
macam dia tak suka macam dia macam muram je tak suka senyum, dia tak suka dia macam muram je tak suka senyum
lepas tu dia kurang zat makanan, lepas tu dia kurang azab makanan
ha tu sebab, itu sebab
dia akibat daripada [UNK], dia akibat daripada masa
ha ah masalah sosial, masalah sosial
penyakit, minyak kit
so kalau kau nak tahu, so kalau kau nak tahu
sembilah puluh percent warga tua hidup sihat, 90 warga tua hidup sihat
dekat Malaysia ni hanya bukan kat Malaysia kat dunia, dekat malaysia ni hanya bukan kat malaysia kat dunia
hanya sembilan puluh ha sebanyak sembilan puluh percent warga tua hidup sihat, hanya sebanyak 90 warga tua hidup sihat
hanya sembilan puluh percent je perlu menjaga kesihatan tetapi, hanya 90 perlu menjaga kesihatan tetapi sebabnya
sepuluh percent yang kurang kesihatan menggunakan, yang kurang kesihatan menggunakan
dua kali ganda sumber kewangan seperti, 2 kali ganda sumber kewangan seperti
resource yang diperuntukkan contoh macam enam percent warga tua negeri sembilan, resource yang diperuntukkan contoh macam 6 warga tua negeri
sembilan, sembilan
diki, diki
yang umur melebihi enam puluh tetapi peratus, yang umur melebihi 60 tahun tetapi beratus
peratusan yang masuk ke Hospital Seremban adalah kira-kira sepuluh hingga dua puluh percent, peratusan yang masuk ke hospital seremban adalah kirakira 10 hingga 20
iaitu dua kali ganda la daripada, iaitu 2 kali ganda daripada
jumpa tadi, jepun tadi
hm so macam, zoom jump
kalau kau pula apa yang, kau pula apa yang
kau tahu pasal, kota pasal
penyakit kemurungan kemurungan tu, penyakit kemurungan tu
oh, hmm
so kesan dia kau akan, sukus sendi kong
berfikir yang positif eh negatif la, berfikir negatif lah
dia orang tak selera nak makan apa semua kan, tak selera nak makan apa semua kan
em em, tak
oh untuk hormon, untuk hormon
perempuan je untuk macam protect dia untuk, untuk macam protect dia untuk
untuk, untuk
ha masa hadapan la mengandung ke protect rahim dia ke kan macam tu, masa hadapan lah untuk mengandung ke protect rahim dia ke kan macam tu
kau tahu tak yang, kudu tak yang
masalah macam, masalah macam
umur berapa yang biasanya masa contoh masalah, umur berapa yang biasanya contoh macam mas alam
kecelaruan ni, kecelaruan ni
em kecelaruan emosi macam, kecelaruan emosi macam
suka marah, suka marah
suka tiba-tiba sedih macam orang, suka tibatiba seti macam orang
macam orang gila orang tak betul macam tu, macam orang gila ke orang tak betul macam tu
biasanya dia berumur, biasanya dia berumur
ha dia bukan berumur dia macam tempoh masa dia tu dalam masa macam, dia bukan berumur dia macam tempuh masa dia tu dalam masa macam
biasanya dia daripada, maksudnya dia daripada
an, terima kasih kerana menonton
enam tahun, 6 tahun
hingga ke sembilan tahun kalau gangguan perlakuan contoh macam, hingga ke 9 tahun kalau gangguan perlakuan contoh macam
hiperaktif dia daripada umur tiga tahun, hyperactive dia daripada umur 3 tahun
hingga sembilan tahun, hingga 9 tahun
perkembangan per, perkembangan
pervasif contoh macam autisme tu, pervasif contoh macam autism tu
dia umur daripada satu tahun hingga lima tahun, diumur daripada 1 hingga 5 tahun
dan pergantungan, dan pergantungan
ha berumur daripada satu tahun hingga tiga tahun, berumur daripada 1 tahun hingga 3 tahun
tu jangka jangka, itu jangkajangka
em masalah mental yang, masalah mental yang
khusus, khusus
terdapat di lingkungan jarak umur yang tertentu la, terdapat di lingkungan jarak umur yang tertentu
dia macam ada umur-umur yang tertentu untuk ha berpotensi untuk dapat penyakit tu, dia macam ada umurumur yang tertentu untuk berpotensi untuk dapat penyakit tu
kalau macam, kalimut jam
autisme ni, autism ni
dia penyakit yang macam, dia penyakit yang macam
autisme ni, odi zimni
okey aku nak tanya kau, okey kuantan ni kawal
apa yang, puyun
kau pernah tak ada pengalaman macam, kau pernah tak ada pengalaman macam
ha jaga orang autisme ke ataupun, jaga orang autism ke ataupun
kau pernah kenal ke kawan ke sen- sendiri dengan orang-orang macam tu pernah tak, kau pernah kenalkah kawan ke sendiri dengan orangorang macam tu pernah tak
oh, oh
oh this, oh dia
oh ganas macam dia tiba-tiba dia macam ganas tiba-tiba dia baik macam tu lah, oh ganas macam dia tibatiba dia macam ganas tibatiba dia baik macam tu lah
ke, k
oh macam tu, horm jentulah
oh wak, oh
kau nak tau tak sebenarnya autism ni, kau nak tahu tak sebenarnya autism ni
dia sebenarnya ha gangguan pertumbuhan tumbesaran, sebenarnya gangguan pertumbuhan tumbesaran
dalam jangka masa panjang lah, dalam jangka masa panjang lah
dia ganggu kita punya tumbesaran badan ke otak ke kita punya apa-apa tumbesaran, dia ganggu kita punya tumbasaran badan ke otak ke kita punya apaapa tumbasaran
dal- dalam jangka masa yang panjang, dalam jangka masa yang panjang
dan dia memberi, dan dia memberi
kesan dalam pemikiran kanak-kanak biasanya kanak-kanak lah dapat benda macam ni, kesan dalam pemikiran kanakkanak biasanya kanakkanak lah dapat benda macam ni
biasanya, mereka
ha ia berlaku kepada kanak-kanak di antara satu hingga, ia berlaku kepada kanakkanak di antara 1 hingga
dua orang dalam, 2 orang dalam
se seribu dan ia terjadi empat kali lebih kerap di kalangan kanak-kanak lelaki so dia jadi, seribu dan ia terjadi empat kali lebih kerap di kalangan kanakkanak lelaki so dia jadi
dia biasanya, dibiasa ni
ha budak-budak lelaki lah yang kena budak-budak perempuan ni dia macam kurang sikit, budakbudak laki lah yang kena budakbudak perempuan ni dia macam kurang sikit
ha gejala-gejala ni selalunya berlaku kepada kanak-kanak ha berumur tiga tahun, gejalagejala ni selanjutnya berlaku kepada kanakkanak berumur 3 tahun
ha sebab-sebab autism ni berlaku disebabkan, sebabsebab autism ni berlaku disebabkan
ha, ah
cara komunikasi ke, jalur komunikasi ke
tindak balas sosial ke tindak lah tin- tingkah laku yang berulang dari segi minat dan aktiviti, tindak balas sosial ke tingkah laku yang berulang dari segi minat dan aktiviti
autism ni dia salah satu hak bahagian dalam gangguan yang dipanggil, autizm ni dia salah satu bahagian dalam gangguan yang dipanggil
pervasive deve- deve- development disorder dan satu lagi gangguan dari kumpulan ini ialah, pervasive development disorders dan satu lagi gangguan dari kumpulan ini ialah
as- Asperger syndrome di mana peru pertuturan kanak-kanak dan kemahiran kognitif boleh jadi normal, asperger syndrome di mana pertuturan kanakkanak dan kemahiran kognitif boleh jadi normal
so tanda-tanda, so tandatanda
tanda-tanda ha apa ni autism ni ialah, tandatanda autism ni ialah
daripada tadi aku cakap komunikasi kan, daripada tadi aku cakap komunikasi kan
so daripada dia nak cara bercakap tu [UNK] ha dia jadi, so daripada dia nak cara bercakap tu dia jadi
kadang-kadang lambat lepas tu dia macam tak normal, kadangkadang lambat lepas tu dia macam tak normal
ha lepas tu dia tak boleh cakap macam teratur macam dia cakap terabur-terabur lah, lepas tu dia tak boleh cakap macam teratur macam dia cakap teraburterabur lah
lepas tu, pastu
bahasa dia tanpa lisan yang tidak normal contoh, bahasa dia tanpa lisan yang tidak normal contoh
kurang pergerakan angge- anggota badan, kurang pergerakan anggota badan
lepas tu kurang cerdas masa bermain dia macam slow je kalau orang ajak main kalau macam, lepas tu kurang cerdas semasa bermain dia macam slow je kalau orang ajak main kalau macam
kalau budak lelaki kan masa eh petang-petang dia orang suka main bola, kalau budak lelaki kan rasa eh petangpetang dia orang suka main bola
tapi kalau ha budak-budak yang ada penyakit ni dia macam dia suka main bola tapi, tapi kalau budakbudak yang ada penyakit ni dia macam dia suka main bola tapi
dia macam ha bola ah boleh lah dia macam okey okey pas [UNK] ha lepas tu masa dia nak main bola tu dia macam, dia macam haa bola haa boleh lah dia macam ok ok lepas tu masa dia nak main bola tu dia macam
slow je kejar bola tu macam tak tak, jadi orangorang yang berbual
tak macam orang lain lah, tak menjauh daripada ini lah
lepas tu dia macam kurang sikitlah bergaul dan berbincang dengan orang lain dia macam, lepas tu dia macam kurang sikit lah bergaul dan berbincang dengan orang lain dia macam
tak suka cakap-cakap dengan orang dia suka dengan orang-orang yang dekat je, tak suka cakapcakap dengan orang dia suka dengan orangorang yang dekat je
kalau macam ada kawan baru ke jiran baru ke nak pergi sekolah ada jumpa kawan baru, kalau macam ada kawan baru ke jiran baru ke nak pergi sekolah jumpa kawan baru
dia macam, terima kasih
dia lebih suka untuk diam dia tak suka cakap dengan orang lain, dia lebih suka untuk diam dia tak suka cakap dengan orang lain
kalau jenis macam daripada tanda-tanda daripada jenis ha segi komunikasi pula, kalau jenis macam daripada tandatanda daripada segi komunikasi pula
daripada tindak balas sosial, daripada tindak balas sosial
daripada segi tindak balas sosial, daripada segi tindakan sosial
dia hilang tumpuan dan kurang mimik muka dia macam kalau orang cakap kan kalau macam contoh kita cakap pasal benda-benda yang seram ke apa ke, dia hilang tumpuan dan kurang mimik muka dia macam kalau orang cakap kan kalau macam contoh kita cakap pasal bendabenda yang seram ke apakah
dia macam kalau orang normal dia akan cakap dia macam buat muka macam takut ke apa tapi kalau orang yang ada autism ni dia macam, dia macam kalau orang normal dia akan cakap dia macam buat muka macam takut ke apa tapi kalau orang yang ada autism ni dia macam
macam tak ada perasaan macam, macam takde perasaan macam
macam dengar macam oh macam tu ha dia macam ha dia macam tak ada tak ada reaksi muka lah, macam dengar macam oh macam tu dia macam tak ada reaksi muka lah
selain tu tiada kesedaran perasaan terhadap orang lain hm kalau macam orang cakap-cakap pasal dia kalau orang kutuk dia macam cakap, selain tu tiada kesedaran perasaan terhadap orang lain kalau macam orang cakapcakap pasal dia kalau orang kutuk dia macam cakap
eh kau ni dah lah pendek ke apa ke ha dia macam tak ada dia macam tak terasa dia macam tak ada perasaan macam tu lah, eh kau ni dah lah pendek ke apakah dia macam tak ada dia macam tak terasa dia macam tak ada perasaan macam tu lah
lepas tu suka bersendirian tanpa berkongsi pengalaman dengan orang lain ha macam tak nak cakap dia tak suka, lepas tu suka bersendirian tak bergongsi pengalaman dengan orang lain macam tadi aku cakap dia tak suka
dia tak suka bergaul dengan orang lah, dia tak suka berkawan dengan orang lah
lepas tu suka bermain sendiri ha dia lebih suka main sendiri macam main sorang-sorang main Lego sorang-sorang ke, lepas tu suka bermain sendiri ada yang lebih suka main sendiri macam main seseorang main lego seseorang ke
kalau orang besar tu mungkin dia, kalau orang besar tu mungkin dia
main game sorang-sorang ke kan P S O sorang-sorang, main game sorangsorang ke kan ps4 sorangsorang
ha selain daripada tu, selain daripada itu
ha okey kal- kalau, ok kalau
kalau, kalau
contoh lah, contohnya
tapi tak ada lah, tapi entah je lah
ah, dan
kita ada orang yang terdekat ada, kita ada orang yang terdekat ada
ada penyakit macam ni, ada penyakit macam ni
ah cara nak nak rawat dia, cara nak rawat dia
kalau biasanya orang akan pergi hospital lah, kalau biasanya orang akan pergi hospital lah
tapi kalau kalau kau macam dia tak nak pergi hospital ke kau cuba untuk ah membaiki kemahiran sosial dia, tapi kalau kau macam dia tak nak pergi hospital ke kau cuba untuk membaiki kemahiran sosial dia
ataupun menggalakkan lebih ramai masyarakat mengenal mengenal pasti kelakuan mereka macam contoh kalau macam, ataupun menggalakkan lebih ramai masyarakat mengenal pasti kelakuan mereka macam contoh kalau macam
okey kalau contoh ah pukul satu hingga pukul dua ni dia [UNK] ah dia punya, okay kalau contoh pukul 1 hingga pukul 2 ni dia punya
tingkahlaku akan jadi macam agresif macam suka marah marah suka lompat lompat ke apa ke ah so, tingkal aku akan jadi macam agresif macam suka marahmarah suka lompatlompat ke apa ke so
kau suruh orang-orang yang lain tu macam, kau suruh orangorang yang lain tu macam
faham dia ah macam lebih mengenali dia lah macam okey pukul ni pukul ni jangan kacau dia sebab, faham dia macam lebih mengenali dia lah macam ok pukul ni pukul ni jangan kacau dia sebab
nanti dia akan jadi buas ke jadi agresif macam tu lah, nanti dia akan jadi buas ke jadi agresif macam tu lah
ah ah, uhuh
selain daripada tu juga membantu keluarga mengendalikan masalah ini, selain daripada itu juga membantu keluarga mengendalikan masalah ini
dengan jayanya ah so, dengan jayanya so
kalau macam contoh, kalau macam contoh
ah ada orang terdekat dengan kita yang ada masalah tu, ada orang terdekat dengan kita yang ada masalah tu
kita ni, terima kasih kerana menonton
tolonglah ah famili dia ke keluarga dia untuk, tolonglah family dia ke keluarga dia untuk
untuk rawat benda ni, untuk rawat benda ni
macam contoh kita bagi sokongan dekat dia ke bagi nasihat dekat budak tu ke kan, macam contoh kita bagi sokongan dekat dia ke bagi nasihat dekat budak tu ke kan
em, hmm
so tu je lah aku rasa yang aku boleh, so tu je lah aku rasa yang aku boleh
ceritakan dekat kau, ceritakan dekat kau
cam aku boleh kongsikan dengan kau, aku boleh kongsikan dengan kau
ah ah pasal kesihatan, pasal kesihatan
kalau apa-apa apa-apa yang, kalau apaapa yang
pasal kesihatan yang aku tau aku akan kongsi lagi dengan kau okey, bahasa kesehatan yang aku tahu aku akan kongsi lagi dengan kau okey
okey, okey
bye bye, bye bye
hai Yulaiha, hai you liha
sihat walafiat, sehat wa alfiyah
hm, hmm
ha ah weh, haa ya
ei penyakit apa tu, ihhh penyakit apa tu
oh penyakit bahaya, obnyeki bayu
ah yang ni kan corona virus, nyen koronavirus
ya weh, yubi
dah selamat lah ha ah, dah selamat dah
tapi untunglah kita, tapi untunglah kita
Malaysia sikit je kan orang yang terkena dengan orang yang mati, malaysia sikit je kan orang yang terkena dengan orang yang mati
tak ramai, terima kasih
kalau macam negara-negara yang besar-besar tu yang America, kalau macam negaranegara yang besarbesar tu yang amerika
Russia Itali tu semua, rusia itali tu semua
kena ramai orang kena en, kini ramai orang kini
hm, hmm
ya weh, yui
dia orang tak buat ni ke P K P ke, diorang tak buat ni ke pkp ke
selfish, seri fish
pentingkan diri sendiri [UNK], pentingkan diri sendiri
dia, di
ha ah, ya ya
macam mana boleh datang denggi, macam mana boleh datang dengan gini
nyamuk, yang mana
ha ah, aw
hm, hmm
aku pun pernah lah kena nyamuk gigit aku selalu tapi jarang ah kena denggi, aku pun pernah lah kena nyamuk gigi aku selalu tapi jarang lah kena denggi
ha ah, ya
kau pernah kena denggi, kau pernah kena dengi
habis kau masuk hospital ke, habis kau masuk hospital ke
oh, hmm
ha ah, hmm
hm, hmm
hm, hmm
oh ha ah, oh haa
habis kau dapat, habis kau dapat
dapat rawatan dia, dapat rawatan dia
dia ambik darah kau ke, dia ambil darah kau ke
aku pun pernah kenalah dulu kecik, aku pun benda gemil dah dulu kecik
aku kena demam panas teruk, aku kena demam panas teruk
masa tu aku muntah-muntah, masuk tu aku muntahmuntah
aku muntah-muntah sampai aku jadi kurus kurus gila, aku muntahmuntah sampai aku jadi kurus gila
aku muntah je ha, aku montaj
tak makan tak apa, tak makan tak apa
mak aku pun kasi aku setiap hari makan bubur je, mak aku pun kasih aku setiap hari makan bubur je
nasi aku tak makan langsung weh, nasi aku tak makan langsung
ya wei, ya ya
lagi-lagi kalau yang, jadi kita lewat yang
ada orang pernah buat jolok tu jolok ke dalam, ada orang pernah buat juluk ke dalam
tekak ah, tak kena ni
um ah, oh
sakit gila, lagi ini
aku tengok jugalah artis buat, aku tengok jugalah artis buat
yang check [UNK] Corona virus tu, yang cek duit yang guna virus tu
dia dia macam, dia macam
betul-betul sakit wei macam nak, betulbetul sakit weh macam nak
eh nak apa, inna awal
tekak ni rasa macam nak, tak kaya dengan senjata
nak [UNK], nak kata kopi eh
seriuslah Yuyu, serius lah yew
serius lah, serius lah
geli wei, giliwi
ah kahak, aaaa kakak
ah ah, haa
kau kan tak suka muntah, kau kata sikit muntah
sebab, sebab
dia nak ambil belah belah-belah dalam sampai ke perut tu kan, dia nak ambil belahbelah dalam sampah keperut tu kan
sakit doh, terima kasih kerana menonton
aku pun paling tak suka, aku punbanyak yang tak suka
aku tak suka ni ambil darah, aku tak suka ni ambil darah
dengan cucuk, nenek jujur
cucuk darah, dujuk lara
aku tak suka macam pening, aku tak suka macam pening
pening wei, peniwi
kena cucuk wei, terjejejui
aku pernah kena, aku pun nak kena
masa aku kena demam tu lah ambil darah banyak kali, masa aku kena demam tu lah ambil darah banyak kali
cucuk darah ambil darah cucuk darah ambil darah, cik cik darah cik cik darah cik cik darah cik cik darah
kau pengsan, kupinsen
hei aku memanglah tak suka darah tapi aku tak adalah sampai pengsan, eh aku memang tak suka darah tapi aku tak adalah siapa pingsan
aku just pening je, aku just pending je
sama ah, terima kasih kerana menonton
yang, yan
aku pernah ke jugaklah kena, aku pernah jugalah kena
yang masa doktor check gigi aku lepas tu kena macam, yang masa doktor check gigi aku lepas tu kena macam
dia kata ada kuman kat dalaman lepas tu dia, dia kata ada guman kat dalaman lepas tu dia
dia guna laser tu lepas tu [UNK] kat dalam, dia guna laser ke lepas tu zzzz kat dalam
gigi U, gigi yu
lepas tu nak buang balik, lepas tu nak buang balik
rasa dia mengeliat wei kat dalam mulut aku, rasa dia mengeliat lagi kat dalam mulut aku
sakit ah, dia kata ya
ah ah, haa
ya wei, yui
tak boleh makan tu tak boleh makan ni, tak boleh makan tu tak boleh makan ni
um ah, hmm
aku melalak, aku menerima
tu la, belah
orang orang tua-tua cakap kena jaga, orang tujuan ke kena jaga
pemakananlah masa muda, pemakanan amaz muda
supaya tak kena darah tinggi, supaya tak kena darah tinggi
ah, haa
apa lagi, apa lagi
ah dia macam ah penyakit, jangan cakap macam ni
ha obesiti, oh berziti
em em, hmm
hm ya weh, ya ya
dah tu makanan semua sedap, datuk makanan semua sedap
nak buat macam mana, nama jenis
takkan aku nak halang kan, takkah aku nak halang eh
hm, hmm
ha ah, haa
hm, hmm
ha ah, tak
betul juga kan em aku ada sekali kena, aku ada sekali kena
suhu aku tiga tujuh, suhaku 37
time tu aku berdebar, tentang aku berdebar
suhu aku tiga tujuh, suhu aku 37
em time tu aku berdebar la, anda tidak kudubalah
sebab sebab first time suhu aku [UNK] tiga tujuh, sebab first time suhu aku 37
kau pernah kena ke suhu kau tinggi, kau pernah kena hidup sungguh kau tinggi
suhu kau tinggi, suhu ketinggi
suhu tinggi, suhu tinggi
ah, oh
paling tinggi, paling tinggi
ha ah, tak
wow, wow
kau tak kena tahan pula, kau tak kena tahan lah
oh maknanya benda tu dah rosaklah, oh maknanya benda tu dah rosak lah
tapi kan, terima kasih
pasal Covid nineteen ni, pasal covid19 ni
semua negara kan dia kena kan, semua ni gada yang kena ni kan
negara apa eh tak kena, kenapa yang tak kena
semua kena kan, semoga negeri
ha, hmm
tapi ada yang menipu tau, tapi ada yang menipu
ada yang menipu, hari amnipu
ada yang cakap yang sebenarnya negara dia ramai je orang kena, ada yang cakap yang sebenarnya negara ni ramai je orang kena
tapi, tabi
dia tipu dia kata sikit hm, dia tipu dia kata sikit
ha ah, ya
ramai je weh, rambai jenis ni
virus apa tu, terima kasih kerana menonton
nipah, 2 bar
oh, hmmmm
wow, wah
kat Malaysia ke apa, kami sikap
ha ah, hmm
baguslah, bagus lah
hm, ni
aku baru tahu ni, aku boleh tahu sih
mak kau cerita la, mak kena kena kena
bahaya eh, bye yue
pokok [UNK] pokok nipah boleh jadi virus, pokok nipah pun jadi virus
macam mana boleh terjadi, macam mana boleh terjadi
pegang, begong
ha, hmm
mungkin, mungkin
ada orang kacau lah pokok nipah tu, aduh orang kacau lah buku lipah tu
tu yang menjadi macam tu, itu yang jadi macam tu
ha ah, haa
ya weh, iwi
ni mungkin [UNK], mungkin
ah doktor untunglah doktor kat Malaysia ni jenis macam cepat ah cepat buat sesuatu ha cepat bertindak, doktor untung doktor kat malaysia ni jenis macam cepat cepat buat sesuatu cepat bertindak
hm, hmm
Doktor Nor Hishamq, dato noi siam
aku suka doh dia, aku suka duit dia
memang bagus, memang bagus
aku pun suka, aku suka
ah ah ramai orang puji, ramai orang buji
tapi ada je orang tak suka orang cakap eleh Malaysia tu tipu apa semua, tapi ada je orang tak suka orang cakap malaysia tu tipu apa semua
mesti ada je orang tak suka, mesti ada je orang tak suka
okey kau pun, ok kebun
bye, bye
hello, helo
ya, ya
em makanan kegemaran kau kau suka makan apa, hmm makanan kegemaran kau kau suka makan apa
em, hmm
goreng pisang, dengan pisang
lepas tu senang cari, pertanyaan terakhir
sedapnya, sini
so apa istimewa, so apa istimewa
makan nasi lemak tu, makanan selamat tu
em, hmm
kerang ke, ke rangka
oh, oh
em, hmm
aku suka makan pedas, aku suka makan pedas
aku suka makanan Korea, aku suka makanan korea
dia macam, jemaah caham
sebab dia macam, selepas ini
tak tahu lah sebab, katalah sebab
orang Korea kata kalau makan makanan pedas dia boleh hilangkan stress, orang korea kata kalau makan makanan pedas dia boleh hilangkan stres
so memang betul lah aku memang suka makan, so memang betul lah aku memang suka makan
aku penggemar makanan Korea, aku penggemar makanan korea
yes, yes
sebab, sebab
minggu lepas, minggu lepas
aku lepak dekat Mid Valley, aku lepak dekat mi valley
lepas tu alang-alang dengar kata ada restoran baru buka dekat apa nama restoran tu, lepas tu alangalang dengar kata ada restoran baru buka dekat apa nama restoran tu
The Gardens, the gardens
dia dekat je dengan Mid Valley tu, dia dekat je dengan mid valley tu
aku pergi lah kat sana, aku pergilah kat sana
mula tu aku ingat SeoulNami Korean B B Q ni terletak dekat restoran lain lah sebab, mula tu aku ingat tsunami korean bbq ni terletak dekat restoran lain lah sebab
sebab baru buka so aku tak tahu lah dia ada kat situ, sebab baru buka so aku tak tahulah ada yang ada kat situ
lepas tu masa aku pergi tu, batu masa aku begitu
sampai-sampai je ha ramai pula orang makan kat situ, sampaisampai je ramai pula orang makan kat situ
rupanya ramai juga orang Malaysia tekak Korea termasuk aku, rupanya ramai juga orang malaysia dekat korea termasuk aku
